102: 6.18-7.18	26.2821 , 0.972127 nm
103: 6.19-7.18	26.2821 , 0.972127 nm
104: 6.19-7.19	26.7882 , 1.47823 nm
105: 6.25-7.24	26.1388 , 0.828888 nm
106: 6.25-7.25	23.0853 , -2.22462 nm	CRITICO
107: 6.26-7.25	21.2623 , -4.04762 nm	CRITICO
108: 6.26-7.26	21.2623 , -4.04762 nm	CRITICO
109: 6.27-7.26	21.4642 , -3.84579 nm	CRITICO
110: 6.27-7.27	23.1204 , -2.18952 nm	CRITICO
111: 6.31-7.30	23.4943 , -1.81563 nm	CRITICO
112: 6.31-7.31	15.3178 , -9.99216 nm	CRITICO
113: 8.28-9.29	28.0099 , 1.94013 nm
114: 8.29-9.29	28.0099 , 1.94013 nm
115: 8.29-9.30	26.522 , 0.452203 nm
116: 8.30-9.30	26.522 , 0.452203 nm
117: 8.30-9.31	23.963 , -2.10676 nm	CRITICO
118: 8.31-9.31	23.963 , -2.10676 nm	CRITICO
119: 9.4-10.3	25.8314 , 1.60734 nm
120: 9.4-10.4	24.5373 , 0.313209 nm
121: 9.5-10.4	23.5793 , -0.644842 nm	CRITICO
122: 9.5-10.5	23.025 , -1.19905 nm	CRITICO
123: 9.6-10.5	22.5331 , -1.69097 nm	CRITICO
124: 9.6-10.6	22.5331 , -1.69097 nm	CRITICO
125: 9.7-10.6	22.8752 , -1.34885 nm	CRITICO
126: 9.7-10.7	21.0472 , -3.1769 nm	CRITICO
127: 9.8-10.7	19.764 , -4.46011 nm	CRITICO
128: 9.8-10.8	19.6478 , -4.57629 nm	CRITICO
129: 9.9-10.8	19.2738 , -4.95025 nm	CRITICO
130: 9.9-10.9	19.2738 , -4.95025 nm	CRITICO
131: 9.10-10.9	20.1876 , -4.03653 nm	CRITICO
132: 9.10-10.10	19.136 , -5.0881 nm	CRITICO
133: 9.11-10.10	17.9533 , -6.27079 nm	CRITICO
134: 9.11-10.11	17.9533 , -6.27079 nm	CRITICO
135: 9.12-10.11	17.762 , -6.46205 nm	CRITICO
136: 9.12-10.12	17.762 , -6.46205 nm	CRITICO
137: 9.13-10.12	18.8714 , -5.35273 nm	CRITICO
138: 9.13-10.13	18.8714 , -5.35273 nm	CRITICO
