105: 40.31-41.25	23.1112 , -3.52732 nm	CRITICO
106: 41.30-43.31 INTERSECAO
107: 41.31-43.31	8.43227 , -16.0769 nm	CRITICO
108: 42.31-43.29	17.8437 , -6.08903 nm	CRITICO
109: 43.20-44.20	20.6103 , -2.29513 nm	CRITICO
110: 43.21-44.20	13.9955 , -8.90999 nm	CRITICO
111: 43.21-44.21	1.76743 , -21.138 nm	CRITICO
112: 43.22-44.21	1.76743 , -21.138 nm	CRITICO
113: 43.22-44.22	3.79747 , -19.108 nm	CRITICO
114: 43.23-44.22	3.79747 , -19.108 nm	CRITICO
115: 43.23-44.23	14.4531 , -8.45231 nm	CRITICO
116: 48.31-49.30	25.9516 , -0.0379738 nm	CRITICO
117: 48.31-49.31	16.2238 , -9.76571 nm	CRITICO
118: 51.31-53.30	27.5345 , -0.0117743 nm	CRITICO
119: 51.31-53.31	6.89461 , -20.6517 nm	CRITICO
120: 52.11-53.9	26.7349 , -1.63046 nm	CRITICO
121: 52.11-53.10	25.1207 , -3.24469 nm	CRITICO
122: 52.12-53.9	28.0727 , -0.29263 nm	CRITICO
123: 52.12-53.10	14.621 , -13.7443 nm	CRITICO
124: 52.12-53.11	15.0685 , -13.2968 nm	CRITICO
125: 52.13-53.10	13.9546 , -14.4108 nm	CRITICO
126: 52.13-53.11	9.67386 , -18.6915 nm	CRITICO
127: 52.13-53.12	22.4236 , -5.94176 nm	CRITICO
128: 52.14-53.11	8.48878 , -19.8766 nm	CRITICO
129: 52.14-53.12	8.48878 , -19.8766 nm	CRITICO
130: 52.15-53.12	10.8371 , -17.5283 nm	CRITICO
131: 52.15-53.13	12.7436 , -15.6217 nm	CRITICO
132: 52.16-53.13	19.0046 , -9.36075 nm	CRITICO
133: 52.16-53.14	29.21 , 0.844611 nm
134: 52.31-53.29	28.4442 , 0.0788652 nm	CRITICO
135: 53.20-54.21	8.05353 , -20.4415 nm	CRITICO
136: 53.20-54.22	3.77276 , -24.7222 nm	CRITICO
137: 53.21-54.21	12.6592 , -15.8358 nm	CRITICO
138: 53.21-54.22 INTERSECAO
139: 53.21-54.23	5.12296 , -23.372 nm	CRITICO
140: 53.21-55.25	13.9417 , -13.9058 nm	CRITICO
141: 53.21-55.26	11.7679 , -16.0797 nm	CRITICO
142: 53.21-57.21	23.946 , -6.08587 nm	CRITICO
143: 53.22-54.22	23.7011 , -4.79389 nm	CRITICO
144: 53.22-54.23	5.81892 , -22.6761 nm	CRITICO
145: 53.22-54.24	5.59286 , -22.9021 nm	CRITICO
146: 53.22-55.25	14.849 , -12.9985 nm	CRITICO
147: 53.22-55.26	10.5188 , -17.3287 nm	CRITICO
148: 53.22-55.27	9.76274 , -18.0848 nm	CRITICO
149: 53.22-57.21	19.7549 , -10.277 nm	CRITICO
150: 53.22-57.22	15.4651 , -14.5668 nm	CRITICO
151: 53.22-57.23	29.7113 , -0.320532 nm	CRITICO
152: 53.23-54.24 INTERSECAO
153: 53.23-54.25	6.52964 , -21.9654 nm	CRITICO
154: 53.23-55.27	9.76274 , -18.0848 nm	CRITICO
155: 53.23-55.28	17.9346 , -9.91296 nm	CRITICO
156: 53.23-57.22	15.4651 , -14.5668 nm	CRITICO
157: 53.23-57.23	20.1334 , -9.89846 nm	CRITICO
158: 53.24-54.25	15.8939 , -12.6011 nm	CRITICO
159: 53.24-54.26	30.3806 , 1.88561 nm
160: 54.22-55.25	23.5232 , -1.76962 nm	CRITICO
161: 54.22-55.26	26.2401 , 0.947244 nm
162: 54.23-55.25	22.3932 , -2.89962 nm	CRITICO
163: 54.23-55.26	16.3751 , -8.91777 nm	CRITICO
164: 54.23-55.27	16.4446 , -8.84827 nm	CRITICO
165: 54.23-57.21	27.595 , 0.1179 nm	CRITICO
166: 54.23-57.22	23.5057 , -3.97146 nm	CRITICO
167: 54.24-55.26	16.3241 , -8.96878 nm	CRITICO
168: 54.24-55.27	14.215 , -11.0778 nm	CRITICO
169: 54.24-55.28	13.8962 , -11.3967 nm	CRITICO
170: 54.24-57.22	19.0506 , -8.42657 nm	CRITICO
171: 54.24-57.23	19.0506 , -8.42657 nm	CRITICO
172: 54.25-55.27	16.5138 , -8.77907 nm	CRITICO
173: 54.25-55.28	13.8962 , -11.3967 nm	CRITICO
174: 54.25-55.29	14.6485 , -10.6443 nm	CRITICO
175: 54.25-57.22	25.845 , -1.63218 nm	CRITICO
176: 54.25-57.23	19.698 , -7.77911 nm	CRITICO
177: 54.25-57.24	25.7795 , -1.69769 nm	CRITICO
178: 54.26-55.28	24.4281 , -0.86479 nm	CRITICO
179: 54.26-55.29	14.8486 , -10.4442 nm	CRITICO
180: 54.26-55.30	16.586 , -8.70689 nm	CRITICO
181: 54.26-57.23	26.9417 , -0.535405 nm	CRITICO
182: 54.26-57.24	26.8642 , -0.612974 nm	CRITICO
183: 54.27-55.30	17.6823 , -7.61057 nm	CRITICO
184: 54.27-55.31	19.1084 , -6.18448 nm	CRITICO
185: 54.28-55.31	20.8069 , -4.48594 nm	CRITICO
186: 55.24-57.20	24.873 , -1.95671 nm	CRITICO
187: 55.24-57.21	26.087 , -0.74273 nm	CRITICO
188: 55.25-57.20	21.859 , -4.97066 nm	CRITICO
189: 55.25-57.21	13.6555 , -13.1742 nm	CRITICO
190: 55.26-57.21	8.56229 , -18.2674 nm	CRITICO
191: 55.26-57.22	7.07685 , -19.7528 nm	CRITICO
192: 55.27-57.22	4.54121 , -22.2885 nm	CRITICO
193: 55.27-57.23	4.54121 , -22.2885 nm	CRITICO
194: 55.28-56.29	25.2721 , 0.308673 nm
195: 55.28-56.30	25.4204 , 0.456978 nm
196: 55.28-57.22	10.2703 , -16.5594 nm	CRITICO
197: 55.28-57.23	5.17508 , -21.6546 nm	CRITICO
198: 55.28-57.24	16.1639 , -10.6658 nm	CRITICO
199: 55.29-56.29	25.1737 , 0.21035 nm	CRITICO
200: 55.29-56.30	24.5036 , -0.459824 nm	CRITICO
201: 55.29-56.31	24.5279 , -0.435479 nm	CRITICO
202: 55.29-57.23	10.0579 , -16.7718 nm	CRITICO
203: 55.29-57.24	11.0099 , -15.8198 nm	CRITICO
204: 55.30-56.30	24.4924 , -0.471008 nm	CRITICO
