p		#cnt 0
1
30
1000 0 0
1001.53 78.4901 1
1003.06 156.98 2
1004.6 235.47 3
1006.13 313.96 4
1007.66 392.451 5
1009.19 470.941 6
1010.73 549.431 7
1012.26 627.921 8
1013.79 706.411 9
1015.32 784.901 10
1016.86 863.391 11
1018.39 941.881 12
1019.92 1020.37 13
1021.45 1098.86 14
1022.99 1177.35 15
1024.52 1255.84 16
1026.05 1334.33 17
1027.58 1412.82 18
1029.11 1491.31 19
1030.65 1569.8 20
1032.18 1648.29 21
1033.71 1726.78 22
1035.24 1805.27 23
1036.78 1883.76 24
1038.31 1962.25 25
1039.84 2040.74 26
1041.37 2119.23 27
1042.91 2197.72 28
1044.44 2276.21 29
1045.97 2354.7 30
1.53234 78.4901 0 
1.53234 78.4901 -4.3059e-14 
1.53234 78.4901 -8.26246e-14 
1.53234 78.4901 -1.18662e-13 
1.53234 78.4901 -1.50906e-13 
1.53234 78.4901 -1.78404e-13 
1.53234 78.4901 -2.01558e-13 
1.53234 78.4901 -2.21404e-13 
1.53234 78.4901 -2.39401e-13 
1.53234 78.4901 -2.5615e-13 
1.53234 78.4901 -2.71984e-13 
1.53234 78.4901 -2.87019e-13 
1.53234 78.4901 -3.01069e-13 
1.53234 78.4901 -3.14098e-13 
1.53234 78.4901 -3.25841e-13 
1.53234 78.4901 -3.35801e-13 
1.53234 78.4901 -3.43679e-13 
1.53234 78.4901 -3.50524e-13 
1.53234 78.4901 -3.5676e-13 
1.53234 78.4901 -3.62696e-13 
1.53234 78.4901 -3.67967e-13 
1.53234 78.4901 -3.72207e-13 
1.53234 78.4901 -3.74616e-13 
1.53234 78.4901 -3.74644e-13 
1.53234 78.4901 -3.72768e-13 
1.53234 78.4901 -3.70825e-13 
1.53234 78.4901 -3.69791e-13 
1.53234 78.4901 -3.69443e-13 
1.53234 78.4901 -3.69254e-13 
1.53234 78.4901 -3.69061e-13 
p		#cnt 1
1
30
1040 0 31
1040.62 82.4669 32
1041.24 164.934 33
1049.9 245.429 34
1063.85 324.412 35
1080.01 402.167 36
1095.95 479.305 37
1112.42 556.375 38
1125.1 633.881 39
1128.98 712.016 40
1122.01 789.993 41
1112.31 868.895 42
1108.36 950.252 43
1112.14 1032.57 44
1126.58 1113.96 45
1151.13 1192.03 46
1185.37 1265.78 47
1223.9 1336.09 48
1263.24 1404.84 49
1301.4 1474.22 50
1331.07 1547.43 51
1345.06 1624.9 52
1343.39 1704.04 53
1335.9 1784.28 54
1336.1 1867.02 55
1351.44 1949.38 56
1384.24 2026.69 57
1432.41 2096.42 58
1494.4 2156.36 59
1569.05 2202.8 60
1652.69 2232.61 61
0.618268 82.4669 0 
0.618268 82.4669 -0.0503115 
8.65871 80.495 -0.0917723 
15.4924 79.2286 -0.0754979 
20.2346 78.0149 -0.04673 
22.8005 77.1255 -0.0220007 
23.5658 76.5779 0.000667498 
22.5091 76.4334 0.02548 
19.5493 76.4306 0.0488758 
15.107 76.1017 0.0622082 
10.0931 75.7044 0.0625792 
5.31095 75.7432 0.0538649 
1.45134 76.1781 0.0401045 
-1.10807 76.8469 0.0234967 
-2.19052 77.3959 0.00600754 
-1.93673 77.4931 -0.0105111 
-0.648023 76.967 -0.0230221 
1.25125 75.955 -0.030926 
3.49749 74.7293 -0.031688 
5.47149 73.8594 -0.020881 
6.3824 73.5433 -0.00261377 
5.94619 73.3739 0.0117151 
4.85346 73.1597 0.0133943 
4.01456 73.0907 0.00625276 
3.80267 73.0801 -0.000611078 
3.96849 72.9764 -0.00331778 
4.20447 72.7916 -0.00359612 
4.4136 72.5617 -0.00368887 
4.5913 72.2697 -0.0041135 
4.71924 71.9116 -0.00436693 
p		#cnt 2
1
30
1080 0 62
1074.48 73.6838 63
1068.95 147.368 64
1076.69 223.824 65
1089.67 300.242 66
1105.28 376.708 67
1121.56 453.419 68
1137.83 530.706 69
1150.5 609.008 70
1156.05 688.437 71
1153.02 768.239 72
1145.07 847.257 73
1138.78 926.987 74
1138.29 1006.74 75
1149.37 1085.94 76
1170.69 1162.7 77
1202.33 1235.71 78
1240.22 1305.66 79
1281.9 1373.84 80
1320.39 1444.41 81
1350.93 1519.26 82
1369.72 1598.14 83
1373.42 1679.12 84
1367.14 1759.59 85
1361.72 1839.93 86
1369.54 1920.81 87
1398.09 1997.85 88
1442.95 2065.43 89
1499.66 2124.44 90
1567.5 2172.65 91
1648.03 2193.97 92
-5.52334 73.6838 0 
-5.52334 73.6838 -0.109883 
7.73434 76.4568 -0.105649 
14.3629 76.4703 -0.0711671 
19.0684 76.249 -0.0498671 
22.0905 76.1065 -0.0265639 
23.2511 76.2013 -0.00221961 
22.5647 76.5843 0.0207611 
20.1091 77.0306 0.0412823 
16.1727 77.1849 0.0564161 
11.3695 76.9959 0.0633133 
6.35084 76.8089 0.0607033 
2.02404 76.8211 0.0447633 
-0.721564 77.1791 0.0263791 
-2.19785 77.5443 0.0105264 
-2.31706 77.5408 -0.00726874 
-1.2614 76.9092 -0.0236613 
0.709959 75.6685 -0.0316251 
2.85559 74.4742 -0.0286411 
4.77267 73.6846 -0.0221987 
6.07019 73.3711 -0.00882044 
6.08877 73.3433 0.0073758 
5.12293 73.2069 0.0147337 
4.10423 73.0199 0.00803246 
3.87745 72.9336 -0.000574514 
3.96747 72.8262 -0.00215405 
4.11303 72.6842 -0.00263319 
4.27044 72.516 -0.00312539 
4.4406 72.2732 -0.00397669 
4.53234 71.9323 -0.00436856 
p		#cnt 3
1
30
1120 0 93
1134.36 85.8915 94
1148.71 171.783 95
1160.84 255.616 96
1176.5 338.282 97
1191.11 420.757 98
1210.02 502.714 99
1231.72 584.121 100
1253.28 665.162 101
1265.44 747.306 102
1256.14 829.181 103
1219.94 904.327 104
1185.98 981.081 105
1171.4 1062.75 106
1176.03 1144.96 107
1194.09 1225.1 108
1231.15 1298.92 109
1286.37 1362.03 110
