p		#cnt 0
1
30
1000 0 0
1002.95 55.7108 1
1005.9 111.422 2
996.652 172.585 3
985.615 235.658 4
976.68 300.614 5
972.158 366.387 6
970.042 432.633 7
966.707 498.845 8
958.849 564.407 9
949.239 630.071 10
938.4 696 11
928.827 762.21 12
914.788 827.935 13
902.379 894.684 14
892.623 962.515 15
883.633 1030.6 16
876.296 1099.35 17
868.524 1168.01 18
860.548 1236.83 19
851.736 1305.95 20
844.687 1375.77 21
837.07 1445.38 22
830.805 1515.18 23
830.527 1583.75 24
829.997 1651.07 25
820.359 1715.57 26
803.967 1777.74 27
779.028 1836.21 28
747.468 1890.21 29
716.413 1940.09 30
2.95032 55.7108 0 
2.95032 55.7108 0.146439 
-9.24837 61.1637 0.084809 
-10.8378 62.9749 -0.0187794 
-9.12988 64.9271 -0.040886 
-6.26966 66.409 -0.0514978 
-3.23549 67.4198 -0.034956 
-2.02005 68.062 -0.00845863 
-1.69044 68.5367 -0.00623743 
-1.25252 68.9926 -0.00707508 
-1.00167 69.3319 -0.00202519 
-1.05097 69.5191 0.00245557 
-1.31627 69.5942 0.00410809 
-1.64883 69.6251 0.00627324 
-2.20305 69.6019 0.00920753 
-2.85818 69.5663 0.00970633 
-3.52853 69.5548 0.00960594 
-4.19218 69.5451 0.00962272 
-4.86549 69.5372 0.00968683 
-5.54257 69.5252 0.00972819 
-6.22401 69.519 0.00950381 
-6.92482 69.4989 0.0113021 
-7.70492 69.498 0.00859246 
-8.1232 69.5805 0.00587424 
-8.5463 69.6568 0.00514721 
-8.80735 69.6772 0.00408434 
-9.12853 69.6464 0.00517748 
-9.40177 69.576 0.00326263 
-9.54918 69.5152 0.00251134 
-9.7029 69.434 0.00317353 
p		#cnt 1
1
30
1040 0 31
1037.28 66.9434 32
1034.56 133.887 33
1024.62 199.37 34
1013.18 264.639 35
1004.55 330.585 36
1001.89 396.399 37
999.722 463.368 38
994.852 530.843 39
984.092 597.409 40
974.449 663.426 41
963.317 729.637 42
951.698 795.784 43
938.264 861.643 44
927.942 928.109 45
917.903 995.814 46
909.772 1063.93 47
901.426 1133.02 48
893.465 1202.6 49
886.284 1272.6 50
875.424 1341.64 51
867.43 1410.49 52
860.864 1478.91 53
858.475 1548.27 54
860.928 1616.87 55
861.61 1686.77 56
844.907 1753.65 57
823.473 1817.12 58
795.029 1877.67 59
754.85 1931.84 60
711.522 1984.57 61
-2.71786 66.9434 0 
-2.71786 66.9434 0.0662059 
-9.93982 65.4834 0.0609406 
-11.1394 65.1671 -0.0179252 
-8.61647 65.8141 -0.051087 
-5.41154 66.5826 -0.045112 
-3.00605 67.4328 -0.0296643 
-1.71979 68.2933 -0.0085626 
-1.76549 68.95 0.000246463 
-1.6229 69.3916 -0.00449913 
-1.45391 69.6823 -0.00125953 
-1.55446 69.8127 0.00328845 
-1.82247 69.8392 0.00304519 
-2.0187 69.8696 0.00450006 
-2.52125 69.8638 0.00921518 
-3.19799 69.8532 0.0100052 
-3.88425 69.8421 0.00975212 
-4.58102 69.8376 0.0102058 
-5.28938 69.8444 0.00923464 
-5.88255 69.8092 0.00834967 
-6.50223 69.7834 0.00960143 
-7.20274 69.7556 0.0106392 
-7.90468 69.7725 0.00875688 
-8.37581 69.8393 0.00535272 
-8.69476 69.8965 0.00429675 
-9.00355 69.8658 0.00457502 
-9.29028 69.8013 0.00388409 
-9.49756 69.7203 0.00294897 
-9.65554 69.6115 0.00281293 
-9.80582 69.4887 0.00285868 
p		#cnt 2
1
30
1080 0 62
1076.57 69.9773 63
1073.14 139.955 64
1065.13 210.403 65
1058.84 281.139 66
1053.91 351.696 67
1046.55 421.924 68
1036.26 491.461 69
1023.49 560.43 70
1009.65 629.703 71
996.75 699.479 72
985.919 769.747 73
978.199 840.36 74
974.727 911.06 75
976.54 981.317 76
978.099 1050.63 77
971.862 1119.1 78
957.131 1185.93 79
935.501 1250.95 80
911.501 1316.1 81
898.411 1385.62 82
897.725 1456.96 83
906.798 1527.24 84
916.433 1595.84 85
912.326 1664.09 86
893.102 1729.03 87
869.126 1793.73 88
841.193 1857.66 89
805.483 1918.12 90
761.161 1973.41 91
709.86 2023.74 92
-3.42919 69.9773 0 
-3.42919 69.9773 0.0489823 
-8.01379 70.4485 -0.000840765 
-7.10647 70.6621 -0.0202424 
-5.58655 70.7798 -0.0219622 
-4.11831 70.8222 -0.0185637 
-3.01497 70.7659 -0.0117142 
-2.38936 70.5757 -0.00512661 
-2.11357 70.4546 -0.00283464 
-1.90039 70.4114 -0.002471 
-1.80492 70.4061 0.000261119 
-1.99656 70.3969 0.0055748 
-2.55985 70.4055 0.00939211 
-3.24119 70.4538 0.00985949 
-3.90138 70.5009 0.00895064 
-4.45192 70.4827 0.00697781 
-4.85889 70.4194 0.00518171 
-5.19925 70.3229 0.00580853 
-5.65001 70.1742 0.00755307 
-6.21406 70.0911 0.00865184 
-6.8423 70.1144 0.00843071 
-7.39546 70.2171 0.00784381 
-7.93105 70.3228 0.00762968 
-8.42376 70.3189 0.00686336 
-8.83918 70.2143 0.00548652 
-9.14709 70.117 0.00420943 
-9.4005 70.0145 0.00346175 
-9.58662 69.8984 0.0030678 
-9.7589 69.7455 0.00336849 
-9.92316 69.5628 0.00343732 
p		#cnt 3
1
30
1120 0 93
1110.12 71.7583 94
1100.24 143.517 95
1092.48 214.696 96
1086.42 285.699 97
1081.67 356.557 98
1074.32 427.388 99
1063.84 497.837 100
1050.81 567.726 101
1036.88 637.185 102
1023.9 706.583 103
1012.96 776.161 104
1005.38 845.979 105
1002.48 915.989 106
1004.84 985.945 107
1006.47 1056 108
999.936 1126.01 109
984.25 1194.46 110
961.07 1260.54 111
937.828 1326.08 112
924.249 1393.83 113
925.409 1462.93 114
935.757 1531.75 115
945.483 1601.07 116
940.89 1671.66 117
922.883 1740.73 118
897.233 1807.86 119
867.32 1873.65 120
