
p		#cnt 0
1
30
1000 0 0
997.99 66.7887 1
995.98 133.577 2
995.223 200.404 3
994.817 267.239 4
995.069 334.089 5
995.989 400.951 6
997.588 467.821 7
999.875 534.692 8
1002.86 601.559 9
1006.56 668.413 10
1010.97 735.246 11
1016.11 802.05 12
1021.8 868.829 13
1027.98 935.583 14
1034.58 1002.31 15
1041.5 1069.03 16
1048.65 1135.73 17
1055.94 1202.42 18
1063.29 1269.11 19
1070.6 1335.8 20
1077.79 1402.5 21
1084.77 1469.22 22
1091.44 1535.97 23
1097.73 1602.73 24
1103.53 1669.53 25
1108.76 1736.36 26
1113.33 1803.21 27
1117.15 1870.09 28
1120.14 1936.99 29
1122.36 2003.9 30
-2.01009 66.7887 0 
-2.01009 66.7887 -0.00947477 
-0.756323 66.8264 -0.0184174 
0.757639 66.8699 -0.0268279 
2.81568 66.9256 -0.0347063 
5.38235 66.9888 -0.0420524 
8.42218 67.0544 -0.0488664 
11.8997 67.1164 -0.0551481 
15.7795 67.1683 -0.0608975 
20.0258 67.2034 -0.0661146 
24.6032 67.2146 -0.0707994 
29.476 67.195 -0.0749517 
34.6083 67.1525 -0.0785717 
39.9646 67.086 -0.0816592 
45.5093 66.9988 -0.0842143 
51.2067 66.8947 -0.086237 
57.0214 66.7784 -0.0877272 
62.9178 66.655 -0.088685 
68.8604 66.53 -0.0891103 
74.8136 66.4088 -0.0890031 
80.7421 66.2969 -0.0883635 
86.6102 66.1996 -0.0871915 
92.3823 66.1217 -0.0854869 
98.0229 66.0675 -0.08325 
103.496 66.0407 -0.0804806 
108.767 66.0438 -0.0771788 
113.799 66.0784 -0.0733447 
118.556 66.145 -0.0689782 
123.004 66.2424 -0.0640795 
127.169 66.3634 -0.0614971 
p		#cnt 1
1
30
1200 0 31
1214.07 76.3126 32
1228.14 152.625 33
1242.22 228.938 34
1256.29 305.251 35
1270.36 381.563 36
1284.43 457.876 37
1298.51 534.189 38
1312.58 610.501 39
1326.65 686.814 40
1340.72 763.126 41
1354.8 839.439 42
1368.87 915.752 43
1382.94 992.064 44
1397.01 1068.38 45
1411.09 1144.69 46
1425.16 1221 47
1439.23 1297.32 48
1453.3 1373.63 49
1467.38 1449.94 50
1481.45 1526.25 51
1495.52 1602.57 52
1509.59 1678.88 53
1523.66 1755.19 54
1537.74 1831.5 55
1551.81 1907.82 56
1565.88 1984.13 57
1579.95 2060.44 58
1594.03 2136.75 59
1608.1 2213.07 60
1622.17 2289.38 61
14.0724 76.3126 0 
14.0724 76.3126 -4.70646e-13 
14.0724 76.3126 -9.27642e-13 
14.0724 76.3126 -1.36874e-12 
14.0724 76.3126 -1.79027e-12 
14.0724 76.3126 -2.1889e-12 
14.0724 76.3126 -2.55952e-12 
14.0724 76.3126 -2.89271e-12 
14.0724 76.3126 -3.18516e-12 
14.0724 76.3126 -3.43803e-12 
14.0724 76.3126 -3.65522e-12 
14.0724 76.3126 -3.84604e-12 
14.0724 76.3126 -4.01544e-12 
14.0724 76.3126 -4.16421e-12 
14.0724 76.3126 -4.29488e-12 
14.0724 76.3126 -4.4111e-12 
14.0724 76.3126 -4.51658e-12 
14.0724 76.3126 -4.61036e-12 
14.0724 76.3126 -4.69156e-12 
14.0724 76.3126 -4.76277e-12 
14.0724 76.3126 -4.82635e-12 
14.0724 76.3126 -4.88765e-12 
14.0724 76.3126 -4.95257e-12 
14.0724 76.3126 -5.01455e-12 
14.0724 76.3126 -5.06144e-12 
14.0724 76.3126 -5.09304e-12 
14.0724 76.3126 -5.11256e-12 
14.0724 76.3126 -5.12314e-12 
14.0724 76.3126 -5.12903e-12 
14.0724 76.3126 -5.12958e-12 
p		#cnt 2
1
30
1400 0 62
1410.2 86.1736 63
1420.41 172.347 64
1430.61 258.521 65
1440.81 344.695 66
1451.01 430.868 67
1461.22 517.042 68
1471.42 603.215 69
1481.62 689.389 70
1491.82 775.563 71
1502.03 861.736 72
1512.23 947.91 73
1522.43 1034.08 74
1532.63 1120.26 75
1542.84 1206.43 76
1553.04 1292.6 77
1563.24 1378.78 78
1573.44 1464.95 79
1583.65 1551.13 80
1593.85 1637.3 81
1604.05 1723.47 82
1614.25 1809.65 83
1624.46 1895.82 84
1634.66 1981.99 85
1644.86 2068.17 86
1655.06 2154.34 87
1665.27 2240.51 88
1675.47 2326.69 89
1685.67 2412.86 90
1695.87 2499.04 91
1706.08 2585.21 92
10.2026 86.1736 0 
10.2026 86.1736 -3.94162e-15 
10.2026 86.1736 1.01437e-14 
10.2026 86.1736 4.09804e-14 
10.2026 86.1736 8.32809e-14 
10.2026 86.1736 1.32991e-13 
10.2026 86.1736 1.90651e-13 
10.2026 86.1736 2.53723e-13 
10.2026 86.1736 3.18277e-13 
10.2026 86.1736 3.83136e-13 
10.2026 86.1736 4.42778e-13 
10.2026 86.1736 4.91991e-13 
10.2026 86.1736 5.29134e-13 
10.2026 86.1736 5.55443e-13 
10.2026 86.1736 5.72152e-13 
10.2026 86.1736 5.82144e-13 
10.2026 86.1736 5.85946e-13 
10.2026 86.1736 5.82121e-13 
10.2026 86.1736 5.68829e-13 
10.2026 86.1736 5.47204e-13 
10.2026 86.1736 5.17415e-13 
10.2026 86.1736 4.82858e-13 
10.2026 86.1736 4.49165e-13 
10.2026 86.1736 4.19921e-13 
10.2026 86.1736 3.96308e-13 
10.2026 86.1736 3.77643e-13 
10.2026 86.1736 3.64402e-13 
10.2026 86.1736 3.57779e-13 
10.2026 86.1736 3.56518e-13 
10.2026 86.1736 3.56771e-13 
p		#cnt 3
1
30
1600 0 93
1605.92 76.139 94
1611.84 152.278 95
1617.76 228.417 96
1623.68 304.556 97
1629.6 380.695 98
1635.52 456.834 99
1641.44 532.973 100
1647.36 609.112 101
1653.28 685.251 102
1659.2 761.39 103
1665.12 837.529 104
1671.04 913.669 105
1676.96 989.808 106
1682.88 1065.95 107
1688.8 1142.09 108
