p		#cnt 0
1
30
1000 0 0
1010.74 91.2612 1
1021.48 182.522 2
1029.6 265.875 3
1039.19 347.559 4
1048.64 428.443 5
1056.55 508.97 6
1062.36 589.377 7
1067.36 669.943 8
1073.73 750.509 9
1088.56 830.82 10
1109.49 909.753 11
1134.95 987.031 12
1161.65 1063.28 13
1186.31 1139.62 14
1208.15 1216.58 15
1226.73 1294.17 16
1241.44 1372.35 17
1249.97 1451.13 18
1249.79 1530.27 19
1243.24 1609.85 20
1233.19 1689.97 21
1223.39 1771.08 22
1216.8 1853.38 23
1215.34 1936.53 24
1225.43 2020.59 25
1253.19 2101.74 26
1298.72 2175.14 27
1359.09 2237.71 28
1430.09 2289.47 29
1521.49 2310.49 30
10.7389 91.2612 0 
10.7389 91.2612 0.0237044 
8.11912 83.3523 -0.0400507 
10.0272 81.7203 -0.0108948 
10.011 80.866 0.0073248 
8.85419 80.4335 0.0192279 
6.92382 80.2332 0.0268398 
4.64301 80.1939 0.0279622 
2.56454 80.2823 0.0223572 
1.11922 80.5206 0.0133731 
0.414363 80.6921 0.00452635 
0.318323 80.6959 -0.00145642 
0.491657 80.5822 -0.00276914 
0.652674 80.4711 -0.00192267 
0.787468 80.3928 -0.00219513 
1.01833 80.3227 -0.00400988 
1.42168 80.2509 -0.00627272 
2.00098 80.2037 -0.00835786 
2.73279 80.2279 -0.010056 
3.57981 80.323 -0.0111936 
4.50129 80.4635 -0.0118268 
5.47275 80.6042 -0.0121831 
6.48467 80.707 -0.0124529 
7.52848 80.7455 -0.0126538 
8.59981 80.6364 -0.0127791 
9.64778 80.2978 -0.0129186 
10.6139 79.721 -0.0131587 
11.4589 78.9323 -0.0134226 
12.1711 77.9859 -0.0134871 
12.4706 76.7604 -0.0134349 
p		#cnt 1
1
30
1040 0 31
1033.26 63.4706 32
1026.51 126.941 33
1038.43 203.535 34
1051.58 282.256 35
1062.29 362.179 36
1071.54 442.384 37
1079.37 522.586 38
1085.41 602.855 39
1090.54 682.791 40
1099.88 762.99 41
1115.79 842.012 42
1136.88 919.864 43
1163.27 996.009 44
1189.94 1071.97 45
1214.15 1148.85 46
1235.05 1226.73 47
1252.54 1305.46 48
1265.97 1384.95 49
1272.76 1465.13 50
1272.54 1546 51
1265.65 1626.79 52
1255.22 1707.33 53
1246.4 1788.24 54
1239.91 1869.45 55
1238.66 1951.27 56
1250.3 2032.55 57
1279.72 2109.38 58
1327.09 2177.11 59
1386.64 2233 60
1456.76 2271.96 61
-6.74309 63.4706 0 
-6.74309 63.4706 -0.202971 
11.9175 76.594 -0.125447 
13.5188 78.7833 0.0365666 
11.2584 79.9434 0.0214907 
10.1095 80.2639 0.0124483 
8.82356 80.3394 0.0205289 
6.80206 80.4016 0.0283752 
4.45871 80.4677 0.0285529 
2.38258 80.6122 0.0219215 
0.995313 80.7724 0.0123892 
0.376855 80.8097 0.00264681 
0.400227 80.6709 -0.00299302 
0.602349 80.4757 -0.00266968 
0.717124 80.343 -0.00136355 
0.825184 80.2525 -0.00217062 
1.07249 80.1586 -0.00443129 
1.51623 80.0596 -0.00672028 
2.13138 79.9966 -0.00861704 
2.8962 79.9995 -0.0102179 
3.76822 80.0817 -0.011289 
4.70213 80.2139 -0.0118787 
5.67662 80.3335 -0.0122322 
6.67976 80.428 -0.0124944 
7.70985 80.4589 -0.0126839 
8.74839 80.3259 -0.0128115 
9.74276 79.9623 -0.0129401 
10.637 79.3571 -0.0132349 
11.3989 78.5709 -0.0135438 
11.9431 77.6248 -0.0136371 
p		#cnt 2
1
30
1080 0 62
1063.13 73.9844 63
1046.27 147.969 64
1051.92 227.839 65
1060.35 308.095 66
1069.81 388.361 67
1078.35 468.571 68
1085.11 548.77 69
1090.67 628.943 70
1096.66 708.819 71
1108.26 788.516 72
1125.91 867.115 73
1149.2 944.271 74
1175.97 1020.29 75
1201.83 1096.55 76
1224.76 1173.84 77
1244.4 1252.12 78
1260.5 1331.26 79
1272.22 1411.2 80
1276.51 1491.83 81
1273.71 1572.78 82
1265.61 1653.42 83
1255.37 1733.91 84
1246.41 1814.78 85
1241.53 1896.07 86
1243.39 1977.3 87
1259.58 2057.3 88
1295.6 2131.14 89
1348.39 2194.44 90
1410.77 2248.53 91
1487.47 2278.61 92
-16.867 73.9844 0 
-16.867 73.9844 -0.219468 
5.65325 79.8699 -0.0419077 
8.82611 80.3419 -0.029461 
10.0528 80.3498 -0.0033679 
9.64559 80.3594 0.0126688 
8.14252 80.4118 0.0236588 
5.98759 80.482 0.0287881 
3.70302 80.5674 0.0267207 
1.8427 80.7238 0.0188401 
0.715938 80.8385 0.00883243 
0.362313 80.7987 -0.000306531 
0.518492 80.5955 -0.0034443 
0.672445 80.4089 -0.00152336 
0.721567 80.2983 -0.00101952 
0.853751 80.2049 -0.00291751 
1.17639 80.1017 -0.00540858 
1.69416 80.0023 -0.00749142 
2.367 79.9573 -0.0092181 
3.17654 79.9873 -0.0106797 
4.07512 80.0858 -0.0115249 
5.02065 80.2171 -0.0119808 
6.00205 80.3385 -0.0123132 
7.0122 80.413 -0.0125487 
8.03851 80.4042 -0.0127116 
9.06367 80.2127 -0.0128394 
10.024 79.7623 -0.0129982 
10.8683 79.0812 -0.0133862 
11.6157 78.2466 -0.0136604 
12.0417 77.2056 -0.0136504 
p		#cnt 3
1
30
1120 0 93
1099.23 75.0462 94
1078.47 150.092 95
1082.82 230.413 96
1091.09 310.399 97
1100.4 390.389 98
1108.79 470.35 99
1115.46 550.256 100
1121.02 629.857 101
1127.54 708.853 102
1139.41 787.474 103
1157.19 864.754 104
1180.25 940.742 105
1207.44 1016.07 106
1233.05 1092.66 107
1255.3 1170.96 108
1274.46 1250.48 109
1290 1330.96 110
1301.97 1412.61 111
1306.21 1495.18 112
1303.55 1577.71 113
1295.81 1659.28 114
1285.81 1739.87 115
1277.19 1819.82 116
1272.88 1899.36 117
