p		#cnt 0
1
30
1000 0 0
1005.05 90.3614 1
1010.09 180.723 2
1013.26 260.456 3
1014.38 338.293 4
1010.12 415.108 5
1005.59 491.35 6
996.105 566.923 7
984.425 642.949 8
975.209 719.655 9
965.43 796.494 10
953.386 873.2 11
945.713 950.933 12
939.806 1028.71 13
933.073 1106 14
930.567 1183.45 15
925.723 1260.53 16
915.01 1336.88 17
909.123 1414.26 18
901.179 1491.21 19
890.036 1567.76 20
882.653 1644.9 21
874.148 1721.88 22
865.928 1798.91 23
855.208 1875.64 24
840.526 1951.05 25
826.99 2027.02 26
816.331 2103.58 27
808.487 2181.54 28
790.857 2261.32 29
825.795 2346.01 30
5.04589 90.3614 0 
5.04589 90.3614 0.0148084 
3.1633 79.7336 -0.0165679 
2.78511 78.0374 0.0218736 
0.453185 77.2048 0.033299 
-1.88699 76.8413 0.0277158 
-3.72598 76.5956 0.0207998 
-5.09793 76.4517 0.0159377 
-6.26071 76.409 0.0144004 
-7.34282 76.3825 0.0134064 
-8.3518 76.3457 0.0126372 
-9.27973 76.3873 0.0103172 
-9.91357 76.4726 0.00565566 
-10.2366 76.5712 0.00333759 
-10.4578 76.6853 0.00159075 
-10.4626 76.78 -0.00130484 
-10.3268 76.8687 -0.00214139 
-10.1638 76.9288 -0.00232163 
-9.97307 76.9785 -0.00260069 
-9.77709 77.0309 -0.00265617 
-9.56798 77.0607 -0.00276386 
-9.3646 77.0814 -0.00237635 
-9.21309 77.0879 -0.00150863 
-9.14422 77.0851 -7.43353e-05 
-9.20829 77.0659 0.0017872 
-9.36362 77.0391 0.00164787 
-9.41946 77.0378 -9.49339e-05 
-9.37466 77.0496 -0.0008571 
-9.30871 77.0698 -0.000751318 
-9.2538 77.052 -0.000566505 
p		#cnt 1
1
30
1040 0 31
1039.31 61.7767 32
1038.62 123.553 33
1039.87 194.203 34
1042.09 267.804 35
1041.55 343.065 36
1038.33 419.088 37
1032.23 495.371 38
1023.89 571.796 39
1014.23 648.353 40
1003.78 725.051 41
993.051 801.743 42
983.137 878.635 43
974.087 955.716 44
966.492 1032.82 45
961.546 1110.1 46
957.264 1187.49 47
951.597 1264.76 48
944.908 1342.06 49
936.942 1419.27 50
928.147 1496.28 51
919.592 1573.29 52
910.861 1650.39 53
901.841 1727.48 54
892.213 1804.51 55
881.6 1881.16 56
868.397 1957.28 57
855.135 2033.11 58
844.95 2109.07 59
833.367 2182.85 60
825.109 2252.42 61
-0.689476 61.7767 0 
-0.689476 61.7767 -0.0132072 
1.25123 70.6499 -0.0462126 
3.37974 73.6716 -0.00700684 
2.27607 75.3903 0.0282224 
-0.0193493 76.2427 0.0307606 
-2.21433 76.6221 0.0256826 
-3.93748 76.7558 0.0190931 
-5.2424 76.7776 0.0152167 
-6.36923 76.7515 0.014041 
-7.4376 76.7058 0.0134973 
-8.44915 76.6678 0.0124021 
-9.32854 76.6466 0.00991278 
-9.9652 76.6575 0.00640288 
-10.3403 76.6989 0.00343486 
-10.5165 76.743 0.00100836 
-10.5089 76.7875 -0.00116315 
-10.37 76.8361 -0.00229396 
-10.183 76.885 -0.00256781 
-9.98396 76.931 -0.00268384 
-9.77314 76.9718 -0.00284877 
-9.55734 77.0104 -0.00267252 
-9.37446 77.0397 -0.00207664 
-9.2401 77.0611 -0.00143131 
-9.1726 77.0743 -0.000115256 
-9.22681 77.0681 0.00134695 
-9.34099 77.0484 0.00136095 
-9.40116 77.0385 0.0001091 
-9.36933 77.043 -0.00072413 
-9.31696 77.0499 -0.000768735 
p		#cnt 2
1
30
1080 0 62
1070.86 80.7032 63
1061.72 161.406 64
1061.08 238.913 65
1059.99 315.926 66
1053.46 392.65 67
1046.38 469.63 68
1038.85 546.521 69
1026.41 622.813 70
1013.02 699.158 71
1004.53 776.084 72
992.911 852.655 73
982.502 929.605 74
978.101 1007.22 75
971.649 1084.49 76
966.134 1161.94 77
962.534 1239.54 78
953.661 1316.63 79
945.494 1393.87 80
940.624 1471.29 81
930.91 1548.13 82
919.286 1624.82 83
911.473 1702.04 84
903.353 1779.21 85
890.794 1855.97 86
881.168 1933.19 87
873.38 2010.3 88
864.985 2086.9 89
856.757 2163.57 90
837.766 2237.7 91
810.941 2312.27 92
-9.14135 80.7032 0 
-9.14135 80.7032 -0.0673455 
-0.636475 77.5067 -0.0294779 
0.588022 77.0817 0.00432579 
-1.17722 76.9195 0.0344257 
-3.65187 76.9284 0.0230586 
-4.62546 76.9904 0.00696188 
-5.19238 76.9915 0.00839043 
-5.99022 76.9276 0.0121292 
-7.02808 76.8827 0.0142383 
-8.13087 76.7877 0.0140173 
-9.1678 76.7255 0.0126452 
-10.0345 76.7506 0.00889661 
-10.5066 76.7676 0.00333144 
-10.6237 76.8001 0.000384038 
-10.61 76.8312 -0.00102095 
-10.4724 76.8688 -0.00233965 
-10.2847 76.9069 -0.00244184 
-10.0865 76.9345 -0.00298037 
-9.83653 76.975 -0.00316358 
-9.62244 77.0096 -0.00256023 
-9.4361 77.0307 -0.00223192 
-9.28875 77.0486 -0.00149897 
-9.21551 77.0626 -0.000386595 
-9.22858 77.0627 0.000669629 
-9.29909 77.0538 0.000959222 
-9.35756 77.0447 0.000543964 
-9.37182 77.0403 -0.000264228 
-9.32589 77.0497 -0.000757423 
-9.27189 77.0678 -0.000698875 
p		#cnt 3
1
30
1120 0 93
1116.63 74.7788 94
1113.26 149.558 95
1102.88 225.984 96
1093.98 303.071 97
1090.19 380.79 98
1083.08 458.635 99
1070.44 535.792 100
1061.17 612.949 101
1049.99 690 102
1037.02 766.729 103
1027.95 843.923 104
1019.42 921.233 105
1010.64 998.462 106
1006.95 1076.06 107
1002.23 1153.51 108
993.92 1230.66 109
988.258 1308.26 110
982.095 1385.77 111
972.86 1463.05 112
966.102 1540.63 113
956.496 1618.04 114
943.46 1694.8 115
933.781 1772.21 116
930.329 1850.06 117
