p		#cnt 0
1
30
1000 0 0
1003.68 68.0968 1
1007.36 136.194 2
1007.83 205.073 3
1006.04 274.328 4
1003 343.889 5
1001.17 413.739 6
998.86 484.189 7
996.728 555.325 8
995.896 626.553 9
991.774 698.135 10
981.956 769.126 11
970.368 840.068 12
962.858 911.469 13
960.323 983.398 14
961.479 1055.41 15
962.214 1127.8 16
957.199 1199.94 17
948.353 1271.68 18
941.936 1343.21 19
937.678 1414.77 20
936.165 1486.29 21
933.518 1558.04 22
924.287 1629.22 23
910.069 1699.61 24
899.768 1769.97 25
892.772 1840.1 26
887.952 1910.62 27
884.736 1981.42 28
874.248 2051.81 29
851.173 2118.54 30
3.68182 68.0968 0 
3.68182 68.0968 0.0265539 
0.466989 68.8795 0.03686 
-2.07479 69.2152 0.0359651 
-4.4172 69.5011 0.0313822 
-6.37179 69.8154 0.024172 
-7.74042 70.1106 0.0146696 
-8.45577 70.4129 0.00557234 
-8.54222 70.729 -0.00340943 
-8.12813 71.0746 -0.00667836 
-7.84171 71.3999 -0.00201963 
-7.8535 71.6479 -0.000297014 
-7.77874 71.8315 -0.00191228 
-7.66095 71.9787 -0.0011242 
-7.60378 72.1207 -0.00103005 
-7.42884 72.263 -0.0042644 
-6.98582 72.4343 -0.00803401 
-6.43272 72.6187 -0.00629423 
-6.17126 72.7177 -0.00183491 
-6.10435 72.7849 -0.000602087 
-6.05318 72.8504 -0.000931746 
-5.93633 72.9193 -0.00287123 
-5.67176 73.0161 -0.00408427 
-5.4177 73.1207 -0.00358314 
-5.18654 73.1884 -0.00294085 
-4.99383 73.2357 -0.00309041 
-4.77116 73.2766 -0.00261713 
-4.65781 73.3071 -0.000852643 
-4.61456 73.3396 -0.000836321 
-4.54018 73.3792 -0.00135112 
p		#cnt 1
1
30
1040 0 31
1055.24 75.4989 32
1070.48 150.998 33
1065.89 230.163 34
1052.35 308.201 35
1037.71 384.843 36
1038.14 461.046 37
1060.74 534.679 38
1086.96 607.319 39
1076.88 684.274 40
1030.5 748.075 41
998.7 818.424 42
998.814 894.165 43
1027.17 965.761 44
1056.79 1036.46 45
1048.39 1112.64 46
1009.99 1180.08 47
980.053 1251.26 48
971.555 1326.64 49
991.043 1399.97 50
1022.24 1470.19 51
1020.11 1547.22 52
977.237 1612.16 53
938.759 1679.44 54
929.122 1754.67 55
947.868 1828.53 56
965.557 1904.78 57
965.187 1983.03 58
939.024 2057.85 59
889.066 2120.76 60
823.261 2172.31 61
15.2381 75.4989 0 
15.2381 75.4989 0.165943 
-4.58184 79.1656 0.121215 
-13.2351 78.4044 0.098211 
-19.1398 77.4467 0.0453103 
-19.3578 77.157 -0.0422976 
-13.7996 75.5828 -0.0917022 
-7.81043 73.619 -0.059599 
-5.86723 73.6967 0.0111077 
-7.62396 72.296 0.0252033 
-8.17379 71.9882 -0.00299659 
-7.82324 72.0235 -0.00285553 
-7.84814 72.0997 0.0024371 
-7.90362 72.1823 -0.00163719 
-7.5971 72.2224 -0.00472804 
-7.25021 72.3888 -0.0063878 
-6.68494 72.62 -0.00827927 
-6.20562 72.7059 -0.00343249 
-6.17285 72.7353 0.00182227 
-6.25155 72.812 -0.000798507 
-6.02402 72.8308 -0.00346588 
-5.81863 72.9497 -0.00335723 
-5.53118 73.1029 -0.00483802 
-5.19947 73.1566 -0.00318711 
-5.12138 73.157 0.00131052 
-5.28205 73.2181 0.00143388 
-5.1964 73.237 -0.00380295 
-4.81017 73.3741 -0.00498502 
-4.57314 73.5293 -0.00232334 
-4.46247 73.6233 -0.00138854 
p		#cnt 2
1
30
1080 0 62
1075.04 80.6023 63
1070.07 161.205 64
1068.62 240.719 65
1056.88 319.039 66
1041.33 395.833 67
1040.11 472.36 68
1065.6 545.41 69
1091.75 618.274 70
1080.77 695.816 71
1035.34 760.893 72
1000.7 829.96 73
1002.39 905.58 74
1038.74 973.723 75
1063.33 1046.92 76
1052.98 1123.72 77
1018.05 1193.65 78
984.456 1263.18 79
974.183 1338.27 80
991.224 1412.05 81
1021.25 1482.17 82
1023.21 1558.68 83
986.36 1627.33 84
942.082 1691.66 85
927.286 1766.46 86
947.652 1840.38 87
967.128 1915.5 88
965.304 1994.08 89
938.32 2069.8 90
885.654 2132.24 91
823.705 2189.8 92
-4.96474 80.6023 0 
-4.96474 80.6023 -0.0560717 
-1.45468 79.5148 0.0966206 
-10.7436 78.7683 0.124536 
-18.6575 77.6046 0.0641466 
-19.3905 77.2432 -0.0474129 
-13.2378 75.3197 -0.0948498 
-7.6459 73.4501 -0.0505309 
-6.05982 73.5747 0.00807443 
-7.41685 72.5175 0.0219952 
-8.11923 72.0515 0.000766129 
-7.87741 72.0584 -0.00244862 
-7.91091 72.1412 0.00199779 
-7.89355 72.1844 -0.00298048 
-7.50552 72.2479 -0.00538472 
-7.13383 72.3928 -0.00594583 
-6.62585 72.6143 -0.00758705 
-6.18069 72.7072 -0.00316846 
-6.16158 72.7505 0.00194144 
-6.23247 72.8346 -0.00108677 
-5.96659 72.85 -0.0041178 
-5.72553 72.9592 -0.00303198 
-5.49551 73.0943 -0.00412988 
-5.18831 73.1598 -0.00304883 
-5.12461 73.1583 0.00153471 
-5.29287 73.2211 0.00136961 
-5.18321 73.2394 -0.00427321 
-4.77443 73.3868 -0.00462871 
-4.58708 73.5084 -0.00160704 
-4.49275 73.5832 -0.00130654 
p		#cnt 3
1
30
1120 0 93
1122.45 65.1774 94
1124.9 130.355 95
1120.49 197.421 96
1115.68 265.522 97
1111.94 335.147 98
1108.6 406.25 99
1106.39 478.032 100
1108.38 551.16 101
1117.9 623.254 102
1114.65 694.63 103
1100.72 764.836 104
1083.19 835.993 105
1071.26 909.169 106
1075.51 983.02 107
1083.14 1055.38 108
1079.61 1126.79 109
1068.32 1198.01 110
1053.27 1269.54 111
1042.33 1343.62 112
1042.46 1419.19 113
1051.63 1493.12 114
