p		#cnt 0
1
30
1000 0 0
992.793 72.1701 1
985.586 144.34 2
981.786 216.268 3
973.635 287.38 4
966.462 358.455 5
960.865 429.369 6
951.292 499.438 7
939.003 568.756 8
925.642 637.592 9
916.742 707.44 10
918.164 777.928 11
924.013 848.52 12
919.057 919.024 13
908.069 988.596 14
897.761 1058.45 15
884.704 1127.6 16
874.372 1197.43 17
864.09 1267.24 18
849.68 1336.57 19
836.23 1405.85 20
832.946 1476.9 21
825.531 1547.69 22
814.854 1618.07 23
804.578 1688.46 24
784.442 1756.55 25
757.443 1822.1 26
727.84 1886.29 27
699.091 1950.09 28
703.073 2022.11 29
707.483 2095.14 30
-7.20696 72.1701 0 
-7.20696 72.1701 -0.0303955 
-3.80012 71.9281 -0.0176419 
-3.52315 71.6771 0.00802418 
-4.59024 71.3039 0.0211188 
-6.38912 70.9294 0.0296549 
-8.32403 70.4459 0.0201334 
-9.03404 70.1829 0.00487519 
-9.29592 70.0828 0.00377784 
-9.54438 70.0423 0.00252589 
-9.63553 70.0369 0.000710085 
-9.6963 70.0534 0.00112962 
-9.79094 70.0677 0.00136279 
-9.89168 70.0758 0.00157258 
-10.0241 70.0799 0.00207943 
-10.1822 70.0716 0.00234644 
-10.3659 70.064 0.00299852 
-10.6081 70.0477 0.00372585 
-10.8654 70.0154 0.00334962 
-11.0796 69.9968 0.00292904 
-11.2824 70.0121 0.00254869 
-11.4361 70.0182 0.00181842 
-11.5572 70.0167 0.0016567 
-11.6799 70.0099 0.00177597 
-11.8087 69.9783 0.00200151 
-11.95 69.9232 0.0022312 
-12.0964 69.8581 0.0022882 
-12.2449 69.7938 0.00235477 
-12.4164 69.8055 0.00237901 
-12.5881 69.8199 0.00234168 
p		#cnt 1
1
30
1040 0 31
1046.15 59.1183 32
1052.29 118.237 33
1045.49 182.598 34
1034.4 247.937 35
1022.46 314.13 36
1010.39 381.04 37
998.751 448.773 38
986.064 516.819 39
972.729 584.922 40
962.696 653.234 41
958.616 722.811 42
953.513 792.608 43
946.738 862.661 44
940.706 933.07 45
936.983 1004.06 46
932.161 1075.6 47
919.785 1145.94 48
903.367 1214.66 49
887.852 1282.73 50
878.828 1352.27 51
874.363 1422.49 52
866.761 1492.34 53
858.636 1562.45 54
850.543 1633.04 55
838.562 1703.55 56
819.931 1771.79 57
797.351 1838.03 58
774.508 1903.03 59
752.25 1966.16 60
727.941 2029.3 61
6.1458 59.1183 0 
6.1458 59.1183 0.138746 
-6.8012 64.3619 0.122363 
-11.186 65.2971 0.0262478 
-12.041 66.2201 0.00192296 
-11.8772 67.0738 -0.0168719 
-10.3017 68.1932 -0.0262678 
-9.22704 69.0885 -0.00996614 
-9.05045 69.5429 0.000740274 
-9.28037 69.7227 0.00441265 
-9.58258 69.8461 0.00312999 
-9.7035 69.9427 0.000685566 
-9.75065 70.021 0.000695465 
-9.82709 70.0778 0.00124667 
-9.92649 70.1239 0.00144279 
-10.0452 70.1599 0.00193601 
-10.2111 70.1686 0.00248263 
-10.4018 70.1556 0.0029501 
-10.6379 70.1284 0.0038916 
-10.9322 70.1132 0.00421679 
-11.2019 70.1177 0.00328812 
-11.3899 70.1127 0.00210701 
-11.5093 70.1094 0.00135143 
-11.5979 70.107 0.00127895 
-11.7038 70.1 0.00168998 
-11.8342 70.0745 0.00201384 
-11.9729 70.0366 0.00203133 
-12.1101 69.9942 0.00226129 
-12.2664 69.9399 0.00259784 
-12.4319 69.8754 0.00263789 
p		#cnt 2
1
30
1080 0 62
1080.65 79.4718 63
1081.3 158.944 64
1073.76 233.182 65
1062.87 305.635 66
1050.66 376.865 67
1038.2 447.685 68
1022.83 517.713 69
1008.44 587.998 70
999.931 659.39 71
995.419 731.818 72
990.218 803.814 73
983.483 874.898 74
977.597 945.498 75
977.92 1015.9 76
973.738 1085.95 77
956.188 1154.14 78
936.431 1222.57 79
922.861 1292.78 80
914.262 1364.72 81
909 1436.91 82
902.672 1508.54 83
895.187 1579.76 84
887.389 1650.47 85
876.011 1720 86
855.425 1786.98 87
831.263 1854.48 88
806.246 1923.87 89
782.572 1994.92 90
750.928 2065.92 91
679.347 2114.63 92
0.649666 79.4718 0 
0.649666 79.4718 0.0610935 
-7.53843 74.2382 0.0630849 
-11.3031 72.4701 0.0368206 
-12.186 71.35 -0.0103332 
-10.4727 71.0255 -0.01977 
-9.77288 70.6784 -0.00251014 
-9.58642 70.4772 -0.00124604 
-9.5387 70.3833 7.25278e-05 
-9.57493 70.3501 0.00102221 
-9.67377 70.3307 0.00157437 
-9.78057 70.3234 0.00133073 
-9.85773 70.3317 0.000825204 
-9.91066 70.3565 0.000856811 
-10.0111 70.3745 0.00225232 
-10.216 70.3456 0.00314114 
-10.4267 70.3175 0.00281876 
-10.6692 70.3116 0.00449425 
-11.0586 70.3102 0.00526401 
-11.3535 70.2992 0.00271304 
-11.4762 70.2768 0.00127741 
-11.5671 70.2666 0.0011866 
-11.6457 70.2576 0.00114503 
-11.7408 70.2416 0.00167961 
-11.8715 70.2006 0.00210828 
-12.0135 70.1551 0.00198719 
-12.1574 70.1149 0.00224834 
-12.3445 70.0613 0.00286259 
-12.5897 69.9594 0.00432979 
-12.8465 69.5816 0.00574912 
p		#cnt 3
1
30
1120 0 93
1118.05 73.7803 94
1116.1 147.561 95
1110.21 221.955 96
1100.74 296.011 97
1089.12 369.676 98
1076.82 443.313 99
1061.93 516.551 100
1047.89 589.388 101
1039.68 662.684 102
1034.47 736.645 103
1029.01 810.465 104
1021.69 883.752 105
1015.7 956.774 106
1015.71 1029.8 107
1010.08 1102.87 108
992.072 1173.93 109
970.736 1243.62 110
956.302 1314.32 111
947.593 1386.12 112
942.692 1458.1 113
936.882 1529.63 114
929.815 1600.85 115
922.665 1671.82 116
911.647 1741.88 117
891.1 1809.72 118
865.961 1875.83 119
840.349 1941.5 120
817.293 2007.68 121
