p		#cnt 0
1
30
1000 0 0
1001.54 73.9389 1
1003.09 147.878 2
994 221.347 3
981.568 294.44 4
969.77 367.795 5
959.731 441.54 6
949.035 515.362 7
939.046 589.358 8
930.571 663.679 9
923.964 738.274 10
918.217 813.077 11
912.242 887.926 12
905.817 962.711 13
900.624 1037.58 14
894.884 1112.4 15
889.137 1187.21 16
881.974 1261.98 17
874.991 1336.66 18
867.177 1411.23 19
859.659 1485.83 20
851.387 1560.42 21
842.926 1635.01 22
836.825 1709.97 23
832.552 1784.86 24
831.377 1859.79 25
831.884 1934.36 26
830.706 2008.64 27
826.037 2082.59 28
816.37 2156.05 29
795.71 2229.27 30
1.54283 73.9389 0 
1.54283 73.9389 0.0904277 
-9.0852 73.4695 0.068926 
-12.8803 73.012 0.0359352 
-14.7354 72.8318 0.0175133 
-15.7932 72.8168 0.0117831 
-16.593 72.8468 0.00960777 
-17.2518 72.9115 0.00755289 
-17.6372 73.0177 0.00110167 
-17.4623 73.1693 -0.00455914 
-17.1007 73.3191 -0.00533094 
-16.6897 73.4572 -0.00589537 
-16.2608 73.5828 -0.00549072 
-15.8614 73.6845 -0.0059323 
-15.4046 73.7808 -0.00555335 
-15.0992 73.8547 -0.00280504 
-14.9546 73.9118 -0.00161751 
-14.831 73.9613 -0.00181034 
-14.6956 74.0087 -0.00184195 
-14.5704 74.0495 -0.00156351 
-14.477 74.0833 -0.000919256 
-14.4513 74.1051 0.000260792 
-14.5015 74.1167 0.000714649 
-14.5514 74.1263 0.000806879 
-14.636 74.1354 0.00141232 
-14.7516 74.145 0.00158176 
-14.8588 74.1508 0.00123785 
-14.9516 74.1497 0.00154478 
-15.0925 74.1327 0.00208157 
-15.2438 74.0931 0.00204262 
p		#cnt 1
1
30
1040 0 31
1040.42 67.5892 32
1040.84 135.178 33
1031.76 206.639 34
1019.58 278.75 35
1007.74 351.405 36
997.043 424.563 37
986.036 498.172 38
975.877 572.067 39
967.062 646.148 40
959.691 720.44 41
953.314 794.966 42
947.293 869.688 43
941.085 944.507 44
935.571 1019.32 45
929.88 1094.15 46
924.071 1169.04 47
917.126 1244.05 48
910.213 1318.96 49
902.675 1393.73 50
895.121 1468.42 51
887.075 1543.13 52
879.194 1617.83 53
872.866 1692.58 54
868.085 1767.34 55
866.587 1842.01 56
865.979 1916.56 57
864.414 1991.12 58
858.803 2065.4 59
847.408 2138.49 60
823.685 2207.33 61
0.418065 67.5892 0 
0.418065 67.5892 0.0869878 
-9.0745 71.4607 0.0744305 
-12.641 72.0995 0.0300415 
-14.3633 72.4873 0.0178217 
-15.5585 72.7276 0.0136816 
-16.4754 72.8751 0.0104911 
-17.1653 72.9868 0.00732116 
-17.5613 73.0904 0.00263284 
-17.5802 73.1998 -0.00214641 
-17.3111 73.3153 -0.00489882 
-16.9088 73.4281 -0.00587726 
-16.4678 73.5355 -0.00598442 
-16.0317 73.6305 -0.00583588 
-15.6171 73.7182 -0.00519034 
-15.2824 73.7978 -0.00381119 
-15.0521 73.8694 -0.00256859 
-14.8888 73.9296 -0.00203213 
-14.747 73.9853 -0.00187491 
-14.6182 74.0377 -0.00166747 
-14.5114 74.0865 -0.00124515 
-14.4476 74.1277 -0.000513133 
-14.4405 74.1589 0.00020098 
-14.4799 74.1828 0.000835394 
-14.566 74.2052 0.00141529 
-14.6843 74.2259 0.00170031 
-14.8157 74.2412 0.00181115 
-14.9635 74.2449 0.00225716 
-15.161 74.2306 0.00309944 
-15.3988 74.1622 0.00354072 
p		#cnt 2
1
30
1080 0 62
1070.48 84.6977 63
1060.97 169.395 64
1049.08 245.918 65
1035.8 320.998 66
1024.52 395.539 67
1015.62 470.033 68
1004.07 544.406 69
992.939 618.683 70
984.634 693.082 71
978.667 767.703 72
973.413 842.439 73
967.566 917.259 74
960.385 992.128 75
955.143 1067.01 76
950.044 1141.99 77
944.517 1217.02 78
935.821 1292.06 79
927.804 1366.97 80
919.848 1441.76 81
912.749 1516.48 82
904.524 1591.08 83
896.179 1665.64 84
890.955 1740.31 85
887.945 1815.46 86
891.058 1890.66 87
892.096 1966.12 88
886.651 2041.52 89
872.714 2116.43 90
853.192 2191.1 91
811.253 2259.86 92
-9.51506 84.6977 0 
-9.51506 84.6977 0.0199647 
-11.8849 76.5229 0.035158 
-13.6215 75.0828 0.0200288 
-15.0098 74.3335 0.0178666 
-16.157 73.9452 0.0137859 
-17.0232 73.6906 0.0096157 
-17.5375 73.5571 0.00437543 
-17.6727 73.5166 -0.000489436 
-17.4982 73.524 -0.00385198 
-17.1406 73.5564 -0.00547318 
-16.7091 73.6068 -0.00599128 
-16.2635 73.6727 -0.00587572 
-15.8471 73.7313 -0.00523683 
-15.4932 73.791 -0.00422343 
-15.2169 73.8517 -0.00331515 
-14.998 73.9183 -0.00264456 
-14.8264 73.9777 -0.0021098 
-14.6876 74.0353 -0.00172426 
-14.5732 74.0916 -0.00151768 
-14.469 74.1492 -0.00137396 
-14.3904 74.2023 -0.000748576 
-14.375 74.2443 0.000271383 
-14.4424 74.2804 0.00155661 
-14.5894 74.3275 0.00207039 
-14.734 74.3697 0.00187725 
-14.9086 74.384 0.00307275 
-15.1941 74.3644 0.00390121 
-15.4855 74.3387 0.00375186 
-15.7654 74.1981 0.00394188 
p		#cnt 3
1
30
1120 0 93
1107.73 75.1767 94
1095.46 150.353 95
1085.1 226.319 96
1073.23 301.885 97
1062.09 377.046 98
1052.76 452.109 99
1041.42 526.991 100
1030.1 601.677 101
1021.04 676.241 102
1014.52 750.921 103
1009.17 825.661 104
1003.39 900.498 105
996.327 975.412 106
990.761 1050.35 107
985.661 1125.4 108
980.26 1200.57 109
972.022 1275.8 110
963.898 1350.96 111
955.869 1425.96 112
948.679 1500.94 113
940.589 1575.85 114
932.184 1650.66 115
926.087 1725.42 116
922.62 1800.63 117
925.098 1876.15 118
927.049 1952.53 119
