p		#cnt 0
1
30
1000 0 0
1004.76 71.9562 1
1009.52 143.912 2
1002.49 218.783 3
999.824 294.584 4
994.873 371.14 5
997.746 447.006 6
1007.25 522.62 7
1008.7 598.745 8
1017.97 674.201 9
1026.95 750.277 10
1037.95 825.688 11
1051.94 901.152 12
1064.14 976.317 13
1077.97 1051.58 14
1081.84 1128.19 15
1093 1204.66 16
1098.26 1281.85 17
1113.32 1356.56 18
1130.26 1431.78 19
1147.05 1506.42 20
1162.54 1580.65 21
1181.68 1654.32 22
1195.51 1729.17 23
1211.49 1803.42 24
1223.06 1878.95 25
1244.95 1953.67 26
1260.06 2028.43 27
1286.28 2100.82 28
1317.22 2173.5 29
1319.68 2253.25 30
4.75998 71.9562 0 
4.75998 71.9562 0.124578 
-7.03197 74.8702 -0.000821674 
-3.95967 75.5857 -0.0505075 
-1.38067 76.1122 -0.0244967 
0.244306 76.2439 -0.0185551 
1.42766 76.2396 -0.0119636 
1.88038 76.3546 0.00220248 
1.36375 76.487 0.00626446 
1.34085 76.448 -0.00558466 
1.96609 76.2463 -0.00866522 
2.49204 76.0473 -0.00677295 
3.05986 75.8609 -0.0090227 
3.67131 75.6627 -0.00525087 
3.77007 75.5847 0.00108794 
3.62658 75.5514 0.00220638 
3.49544 75.5234 0.000398772 
3.53829 75.4699 -0.000903759 
3.58044 75.4146 -0.000928427 
3.67497 75.3534 -0.00159666 
3.79406 75.2925 -0.00192284 
3.93889 75.2185 -0.00206306 
4.07601 75.154 -0.00184824 
4.20045 75.0903 -0.00164379 
4.31703 75.0359 -0.00175096 
4.44428 74.967 -0.00163682 
4.55351 74.9155 -0.00174903 
4.67968 74.842 -0.00156515 
4.7406 74.7924 -0.000467466 
4.75804 74.7831 -9.94586e-05 
p		#cnt 1
1
30
1040 0 31
1025.32 77.6342 32
1010.64 155.268 33
1003.85 231.689 34
1000.28 308.132 35
997.835 384.842 36
1000.14 460.919 37
1009.31 536.626 38
1007.68 612.398 39
1012.59 688.172 40
1021.53 764.171 41
1038.55 839.364 42
1055.77 914.625 43
1065.88 990.393 44
1077.86 1066.21 45
1082.2 1142.93 46
1096.32 1219.13 47
1103.69 1295.78 48
1116.5 1371.02 49
1133.33 1445.87 50
1152.36 1520.15 51
1164.56 1594.98 52
1179.91 1669.21 53
1197.15 1743.49 54
1212.88 1818.02 55
1223.71 1893.94 56
1248.55 1968.31 57
1262.39 2043.05 58
1292.61 2114.46 59
1322.44 2186.77 60
1324.43 2266.21 61
-14.6796 77.6342 0 
-14.6796 77.6342 -0.0734915 
-6.79341 76.4208 0.00830252 
-4.95193 76.1365 -0.0460697 
-1.33442 76.3073 -0.0363441 
0.340125 76.3052 -0.0158082 
1.4374 76.2404 -0.00967474 
1.71978 76.3001 8.86993e-05 
1.67662 76.3419 -0.000114565 
1.83366 76.3238 -0.00400163 
2.24332 76.1741 -0.00686994 
2.77146 75.9718 -0.00703832 
3.2743 75.8153 -0.0070071 
3.70628 75.6444 -0.00292782 
3.69787 75.5664 0.00119827 
3.61388 75.5379 0.00128894 
3.51445 75.5155 0.00041244 
3.54493 75.4648 -0.000698593 
3.58096 75.4076 -0.000998157 
3.68196 75.342 -0.00163356 
3.79951 75.2906 -0.00183931 
3.94194 75.226 -0.00195545 
4.06983 75.1565 -0.00188791 
4.20262 75.088 -0.00167523 
4.31744 75.0363 -0.00180967 
4.45274 74.9628 -0.00159789 
4.55329 74.9164 -0.00180468 
4.69545 74.8309 -0.00174702 
4.7535 74.7857 -0.000284009 
4.7542 74.7778 0.000124936 
p		#cnt 2
1
30
1080 0 62
1074.92 82.6632 63
1069.85 165.326 64
1068.59 247.159 65
1072.22 328.489 66
1080.21 408.845 67
1073.39 489.456 68
1056.79 568.376 69
1046.74 647.956 70
1060.12 727.443 71
1094.8 801.167 72
1136.78 870.551 73
1161.14 945.435 74
1141.95 1021.99 75
1109.42 1093.36 76
1101.63 1171.55 77
1127.6 1246.31 78
1174.34 1310.67 79
1185.57 1388.68 80
1174.17 1466.07 81
1173.98 1544.68 82
1200.95 1618.82 83
1239.31 1687.42 84
1270.82 1757.24 85
1257.23 1832.81 86
1252.72 1907.88 87
1287.54 1976.25 88
1319.94 2048.55 89
1339.87 2126.31 90
1356.21 2206.61 91
1367.61 2289.06 92
-5.07549 82.6632 0 
-5.07549 82.6632 -0.022159 
-1.25523 81.833 -0.0476444 
3.36977 81.365 -0.0606956 
7.35896 80.6497 -0.0275239 
7.17675 80.1108 0.0304365 
3.70294 79.0164 0.0475759 
0.896932 78.2477 0.0190977 
0.518277 77.9547 -0.00542182 
1.25672 77.3374 -0.0194646 
2.82524 76.1925 -0.02208 
3.89066 75.7267 -0.00717591 
4.00665 75.734 0.00248239 
3.73389 75.5927 0.00464623 
3.3965 75.5466 0.00365026 
3.26486 75.5357 -0.00167884 
3.43201 75.3289 -0.0020074 
3.43567 75.2842 -0.000301102 
3.56257 75.2923 -0.00204465 
3.70488 75.2804 -0.00180914 
3.8543 75.2014 -0.00250872 
4.04342 75.0642 -0.0033693 
4.24214 74.9474 -0.0018429 
4.29325 74.9502 -0.000218146 
4.35237 74.9465 -0.00162023 
4.50795 74.8474 -0.00279963 
4.68627 74.7477 -0.00205782 
4.77885 74.709 -0.000390152 
4.76907 74.7021 0.000190756 
4.771 74.705 -0.000122705 
p		#cnt 3
1
30
1120 0 93
1117.76 62.6599 94
1115.53 125.32 95
1120.3 190.483 96
1125.2 256.837 97
1129.22 325.417 98
1131.44 394.665 99
1134.3 464.851 100
1138.17 536.421 101
1140.95 608.311 102
1145.55 680.308 103
1152.91 752.299 104
1165.2 825.256 105
1179.83 898.789 106
1195.07 973.069 107
1205.96 1049.62 108
1203.93 1126.98 109
1201.76 1201.67 110
1207.57 1273.76 111
1217.6 1344.16 112
1229.81 1415.42 113
1241.51 1488.07 114
1254.39 1562.23 115
