p		#cnt 0
1
30
1000 0 0
992.761 78.6108 1
985.523 157.222 2
983.078 234.703 3
979.97 311.345 4
978.03 387.439 5
975.369 462.761 6
972.798 537.263 7
970.951 610.965 8
970.282 684.776 9
969.88 758.198 10
966.976 831.455 11
965.095 905.631 12
967.872 980.447 13
973.01 1056.13 14
978.915 1132.75 15
982.21 1210.08 16
980.346 1287.83 17
973.365 1365.72 18
968.643 1443.74 19
971.803 1521.88 20
980.176 1599.73 21
990.295 1677.34 22
997.47 1755.06 23
1003.88 1833.14 24
1009.6 1911.79 25
1016.37 1990.79 26
1023.87 2069.55 27
1021.51 2148.72 28
999.39 2224.79 29
962.51 2295.32 30
-7.23859 78.6108 0 
-7.23859 78.6108 -0.0467304 
-2.44509 77.4809 0.00946419 
-2.92394 76.7065 0.00342556 
-3.03876 75.9512 0.00154091 
-3.2055 75.2008 0.00314122 
-3.40854 74.4577 0.00245391 
-3.56759 73.7258 0.0031266 
-3.68289 72.9959 -0.0030281 
-3.24312 72.4369 -0.00378731 
-3.23645 72.1439 0.000840092 
-3.17112 71.9932 -0.00182491 
-2.99998 71.9241 -0.00295771 
-2.73417 71.9015 -0.00382497 
-2.43586 71.9115 -0.0038801 
-2.15491 71.9503 -0.00307563 
-1.97439 72.0164 -0.00168443 
-1.90231 72.1004 -0.000271745 
-1.91823 72.1814 0.000147448 
-1.89951 72.2616 -0.000489429 
-1.84309 72.3363 -0.000630646 
-1.78642 72.4091 -0.000631997 
-1.71658 72.4808 -0.00106313 
-1.62317 72.5536 -0.000882326 
-1.58556 72.6272 1.88622e-05 
-1.57663 72.7074 -0.000499261 
-1.4717 72.7643 -0.00186372 
-1.3038 72.8289 -0.00224724 
-1.1583 72.8723 -0.00133711 
-1.10322 72.9013 -0.000504839 
p		#cnt 1
1
30
1040 0 31
1042.35 63.0897 32
1044.71 126.179 33
1042.13 190.715 34
1036.37 256.034 35
1032.18 321.928 36
1027.86 388.634 37
1025.4 455.883 38
1020.66 524.22 39
1015.38 592.092 40
1010.35 660.228 41
1004.9 728.909 42
1001.87 797.627 43
999.424 866.254 44
999.524 934.727 45
1002.98 1002.55 46
1005.66 1069.21 47
1007.84 1135.36 48
1009.53 1201.06 49
1010.91 1266.57 50
1012.34 1332.14 51
1014.72 1397.72 52
1017.75 1463.43 53
1020.97 1529.14 54
1024.13 1594.73 55
1027.16 1660.11 56
1030.21 1725.3 57
1032.93 1790.39 58
1032.87 1855.22 59
1029.41 1919.76 60
1023.58 1983.51 61
2.35388 63.0897 0 
2.35388 63.0897 0.0521335 
-2.57708 64.5359 0.0281756 
-2.59809 65.1884 -0.0261717 
0.140929 66.1395 -0.0547934 
3.58484 67.2142 -0.0453023 
5.49976 68.0104 -0.0135255 
5.24754 68.6762 0.0198631 
2.9401 69.2512 0.0449028 
-0.295375 69.8432 0.0449369 
-2.63799 70.4217 0.0201492 
-3.19599 70.8604 0.000112375 
-3.0835 71.1676 -0.00224674 
-2.98495 71.3741 -0.00089091 
-2.90227 71.5211 -0.00185023 
-2.70945 71.6345 -0.00355163 
-2.45879 71.7308 -0.00368341 
-2.23732 71.8146 -0.00299446 
-2.06655 71.8908 -0.00213466 
-1.947 71.967 -0.00163378 
-1.84674 72.037 -0.00120862 
-1.79078 72.1083 -0.000411967 
-1.77997 72.1815 0.000121542 
-1.79079 72.2557 0.000254807 
-1.79999 72.3295 9.65147e-05 
-1.79193 72.4023 -0.000276415 
-1.75486 72.474 -0.000776559 
-1.69502 72.5454 -0.000968351 
-1.64654 72.6129 -0.000548076 
-1.62984 72.6504 -0.000196314 
p		#cnt 2
1
30
1080 0 62
1088.28 78.5119 63
1096.57 157.024 64
1103.65 232.664 65
1112.38 307.178 66
1122.04 380.865 67
1130.71 454.09 68
1138.03 527.078 69
1144.42 599.971 70
1150.75 672.807 71
1156.95 745.517 72
1162 818.166 73
1167.2 890.284 74
1172.6 962.092 75
1176.29 1033.61 76
1177.15 1104.93 77
1175.61 1176.2 78
1173.19 1247.5 79
1169.65 1318.83 80
1164.63 1389.97 81
1161.57 1461.15 82
1158.75 1532.15 83
1153.41 1602.77 84
1144.42 1673.02 85
1129.69 1742.47 86
1108.21 1810.76 87
1081.06 1877.81 88
1058.86 1948.26 89
1051.24 2023.99 90
1060.99 2101.25 91
1082.88 2178.9 92
8.2838 78.5119 0 
8.2838 78.5119 0.0147419 
7.08352 75.6396 -0.0250619 
8.63566 74.5127 -0.016195 
9.15334 73.6976 0.000220637 
8.48824 73.2169 0.0151019 
6.97344 72.9956 0.0237253 
5.13128 72.9396 0.0246621 
3.47238 72.9703 0.0198539 
2.24666 73.0185 0.0138782 
1.403 73.0546 0.00965863 
0.799211 73.0983 0.00733898 
0.325273 73.1496 0.00595441 
-0.05452 73.1944 0.00469345 
-0.343925 73.2272 0.00346447 
-0.555113 73.2521 0.00251628 
-0.712099 73.2734 0.00191189 
-0.836733 73.2887 0.00160905 
-0.950873 73.2956 0.00162329 
-1.06941 73.2989 0.00165096 
-1.1799 73.2961 0.00142092 
-1.26849 73.2826 0.00111563 
-1.34114 73.2568 0.00109094 
-1.42399 73.2111 0.0015321 
-1.53632 73.1346 0.00204671 
-1.66285 73.0277 0.0022452 
-1.80131 72.9355 0.00197217 
-1.90211 72.9145 0.000389853 
-1.95366 72.9264 0.00256022 
-2.33485 73.0497 0.00616687 
p		#cnt 3
1
30
1120 0 93
1123.63 68.2123 94
1127.26 136.425 95
1133.71 207.371 96
1142.11 278.774 97
1151.46 350.393 98
1160.39 422.208 99
1168.32 494.222 100
1175.11 566.419 101
1181.22 638.767 102
1187.07 711.183 103
1192.23 783.644 104
1197.4 855.877 105
1202.52 927.947 106
1206.62 999.901 107
1208.92 1071.77 108
1209.19 1143.61 109
1207.72 1215.35 110
1204.46 1287.06 111
1199.65 1358.72 112
1195.71 1430.44 113
1192.06 1502.1 114
