p		#cnt 0
1
30
1000 0 0
1005.6 68.1135 1
1011.21 136.227 2
1007.42 208.514 3
1001.75 281.036 4
999.362 353.783 5
996.16 426.8 6
991.237 499.177 7
987.533 571.518 8
984.731 643.778 9
983.456 716.604 10
980.234 788.812 11
977.646 860.891 12
976.367 933.025 13
976.505 1005.25 14
977.687 1077.21 15
978.236 1149.43 16
977.773 1221.78 17
975.876 1293.8 18
974.845 1366.13 19
973.487 1438.41 20
971.722 1510.58 21
969.703 1582.56 22
964.693 1654.44 23
958.71 1725.94 24
953.012 1797.05 25
944.724 1867.8 26
932.086 1937.98 27
926.395 2010.1 28
920.975 2083.81 29
893.937 2154.95 30
5.60415 68.1135 0 
5.60415 68.1135 0.0982916 
-3.78508 72.2874 0.0326163 
-5.10154 72.7972 0.00738136 
-5.3048 72.9352 -0.000517553 
-5.12192 72.8933 -0.00449329 
-4.67974 72.7775 -0.00678252 
-4.16964 72.6725 -0.00702364 
-3.63228 72.5916 -0.00800536 
-2.98977 72.5306 -0.0093921 
-2.2835 72.5083 -0.00998838 
-1.56298 72.4873 -0.00972931 
-0.906274 72.457 -0.00821852 
-0.397998 72.4123 -0.00573442 
-0.0857277 72.3633 -0.00296055 
0.0392384 72.3224 -0.0006579 
0.0269814 72.2865 0.000909783 
-0.0752667 72.2531 0.00182821 
-0.221235 72.2258 0.00213069 
-0.377803 72.2022 0.00222467 
-0.545762 72.1812 0.00247673 
-0.734579 72.1626 0.00274607 
-0.93373 72.1388 0.00275902 
-1.12731 72.1155 0.00270194 
-1.31947 72.0946 0.00270365 
-1.50818 72.0665 0.00263648 
-1.68504 72.0322 0.00235729 
-1.84649 72.0174 0.0022387 
-2.01373 72.0021 0.00222381 
-2.16404 71.94 0.00209105 
p		#cnt 1
1
30
1040 0 31
1033.04 82.8745 32
1026.07 165.749 33
1017.04 242.219 34
1001.55 315.364 35
1004.95 387.559 36
1009.13 461.812 37
994.805 534.021 38
983.656 605.79 39
984.583 678.077 40
995.596 750.641 41
987.493 823.176 42
977.579 894.887 43
979.37 966.979 44
987.161 1039.19 45
980.349 1111 46
982.237 1182.96 47
988.893 1255.78 48
979.143 1327.59 49
975.095 1399.8 50
976.117 1471.76 51
975.473 1543.88 52
975.164 1615.84 53
971.724 1688.63 54
958.786 1759.79 55
961.682 1830.44 56
955.224 1903.58 57
924.942 1971.31 58
921.273 2043.05 59
929.747 2119.92 60
890.324 2196.42 61
-6.96386 82.8745 0 
-6.96386 82.8745 0.00439875 
-9.02955 76.4695 0.0760034 
-12.9117 74.1729 0.00149805 
-9.32799 73.1864 -0.0677976 
-5.53364 72.6659 -0.0297299 
-4.52101 72.6236 -0.00519051 
-4.08058 72.5659 -0.00693732 
-3.47929 72.504 -0.00956293 
-2.70724 72.3362 -0.0119203 
-1.85334 72.404 -0.0101049 
-1.25155 72.4631 -0.00781548 
-0.672855 72.4233 -0.00774573 
-0.220734 72.3483 -0.004181 
-0.0552986 72.3368 -0.00119445 
0.00418527 72.3065 -0.000349204 
-0.025352 72.2819 0.00118627 
-0.151163 72.2417 0.0021071 
-0.30068 72.2132 0.00202152 
-0.446264 72.1964 0.00211677 
-0.613409 72.1801 0.00252114 
-0.808009 72.1681 0.00286697 
-1.01041 72.1502 0.00247794 
-1.1604 72.1158 0.00194779 
-1.32367 72.1175 0.00302856 
-1.57392 72.0924 0.00309359 
-1.73531 72.0176 0.00207394 
-1.88444 72.0097 0.00204148 
-2.04699 72.0279 0.00234775 
-2.24848 71.923 0.00278475 
p		#cnt 2
1
30
1080 0 62
1077.72 56.1683 63
1075.44 112.337 64
1063.81 174.348 65
1051.54 239.364 66
1044.05 308.278 67
1038.75 377.044 68
1032.52 445.561 69
1025.9 514.946 70
1022.15 586.222 71
1019.6 658.122 72
1018.14 729.77 73
1016.46 801.458 74
1014.79 874.288 75
1013.27 946.996 76
1013.38 1019.36 77
1013.82 1091.58 78
1014.16 1163.93 79
1013.92 1236.09 80
1013.04 1308.07 81
1010.85 1381.12 82
1009.3 1453.8 83
1008.59 1526.47 84
1006.76 1598.71 85
1002.17 1671.24 86
996.834 1744.41 87
989.925 1816.19 88
979.717 1886.72 89
967.482 1957.5 90
956.06 2023.67 91
951.313 2084.39 92
-2.2817 56.1683 0 
-2.2817 56.1683 0.102182 
-11.6224 62.0117 0.0766856 
-13.5793 64.3654 -0.00255615 
-13.0064 66.7358 -0.0314388 
-10.0803 68.7424 -0.0502875 
-7.41176 70.0842 -0.0328643 
-5.7495 70.9142 -0.0193661 
-4.67465 71.3681 -0.0124387 
-3.89869 71.6657 -0.0105456 
-3.11687 71.8478 -0.0114262 
-2.30567 71.971 -0.0109192 
-1.57862 72.064 -0.0091358 
-0.983107 72.1302 -0.00726919 
-0.538288 72.1682 -0.00489271 
-0.273869 72.1963 -0.00260016 
-0.143378 72.2165 -0.00110323 
-0.105187 72.2281 1.50152e-05 
-0.14444 72.2307 0.00108889 
-0.256426 72.2277 0.00185452 
-0.404616 72.2229 0.00221117 
-0.576758 72.2204 0.0025248 
-0.766685 72.2154 0.00268392 
-0.957506 72.2031 0.00252057 
-1.13322 72.1904 0.00233247 
-1.30923 72.1759 0.0027 
-1.51336 72.1477 0.00289468 
-1.70315 72.113 0.00245502 
-1.8552 72.0849 0.00223258 
-1.99122 72.074 0.0022447 
p		#cnt 3
1
30
1120 0 93
1112.17 75.6146 94
1104.35 151.229 95
1091.28 222.064 96
1079.48 292.42 97
1075.67 363.981 98
1064.74 435.605 99
1059.49 507.504 100
1056.23 579.733 101
1054.4 651.694 102
1047.11 723.268 103
1046.84 795.116 104
1047.85 867.239 105
1045.5 938.991 106
1040.12 1011.38 107
1041.64 1083.85 108
1047.46 1156.12 109
1046.01 1228.23 110
1043.68 1300.29 111
1042.78 1372.86 112
1041.01 1445.26 113
1037.25 1517.71 114
1037.34 1590.12 115
