p		#cnt 0
1
30
1000 0 0
995.224 68.309 1
990.449 136.618 2
985.893 205.125 3
983.615 273.938 4
981.668 342.894 5
979.684 411.976 6
976.129 481.135 7
973.363 550.567 8
970.228 620.207 9
967.01 690.121 10
963.963 760.342 11
961.197 830.902 12
957.873 901.83 13
955.539 973.002 14
953.292 1044.54 15
951.241 1116.52 16
948.508 1188.94 17
943.244 1261.8 18
936.165 1335.08 19
926.415 1407.53 20
916.532 1479.94 21
910.664 1552.75 22
906.218 1625.73 23
902.698 1698.84 24
892.265 1771.35 25
879.386 1843.43 26
867.455 1914.45 27
858.624 1984.68 28
851.002 2053.7 29
841.807 2121.86 30
-4.77567 68.309 0 
-4.77567 68.309 -0.00236921 
-4.55545 68.5074 -0.000753563 
-4.61414 68.5972 0.00212831 
-4.80827 68.6841 0.00302576 
-4.97995 68.7716 0.00148369 
-5.00729 68.8625 -0.000614589 
-4.90861 68.9588 -0.00247384 
-4.60303 69.066 -0.00730128 
-3.94982 69.1934 -0.00998368 
-3.43067 69.3113 -0.00348062 
-3.42889 69.4033 0.0012362 
-3.47176 69.4921 -5.11197e-05 
-3.44342 69.5837 -0.000715742 
-3.39022 69.6766 -0.000765428 
-3.34682 69.7696 -0.000503167 
-3.34216 69.8621 0.000516432 
-3.43148 69.949 0.00150323 
-3.54573 70.0324 0.00119901 
-3.63145 70.1151 0.00105759 
-3.7414 70.1944 0.0016535 
-3.88722 70.2762 0.00208518 
-4.05039 70.36 0.00221014 
-4.21983 70.4461 0.0023486 
-4.40916 70.5151 0.00247044 
-4.64656 70.5701 0.00426355 
-4.99964 70.5811 0.00416385 
-5.19356 70.6249 0.00144386 
-5.28868 70.6503 0.00195115 
-5.48627 70.6438 0.00331632 
p		#cnt 1
1
30
1040 0 31
1040.12 76.9652 32
1040.24 153.93 33
1040.39 231.121 34
1040.63 308.486 35
1040.9 386.023 36
1041.01 463.716 37
1041.24 541.465 38
1041.51 619.337 39
1041.9 697.325 40
1042.67 775.458 41
1044.05 853.596 42
1045.2 931.724 43
1046.28 1009.72 44
1049.07 1087.69 45
1053.14 1165.63 46
1058.48 1243.12 47
1064.54 1320.26 48
1071.11 1397.09 49
1080.05 1473.14 50
1085.29 1549.53 51
1086.92 1625.37 52
1075.69 1699.56 53
1032.23 1760.8 54
970.265 1805.12 55
916.501 1858.17 56
892.958 1929.46 57
882.151 2005.03 58
871.653 2081.66 59
853.017 2157.63 60
814.441 2225.43 61
0.120704 76.9652 0 
0.120704 76.9652 -0.000229113 
0.149804 77.191 -0.000204018 
0.15993 77.3043 -4.85773e-05 
0.159026 77.4179 6.8102e-05 
0.14768 77.5317 0.000271941 
0.115 77.6458 0.000567464 
0.0641298 77.7601 0.0007168 
0.0137462 77.8746 0.000512164 
0.00906353 77.9891 -0.000575576 
0.108878 78.0714 -0.0017691 
0.267513 78.1341 -0.00219591 
0.480111 78.1816 -0.00367275 
0.815127 78.2105 -0.00412039 
1.09133 78.2357 -0.00325643 
1.34973 78.2479 -0.00334846 
1.61656 78.2505 -0.00359305 
1.92016 78.2435 -0.00438863 
2.3027 78.2125 -0.00568601 
2.79342 78.1836 -0.00715949 
3.30333 78.1644 -0.00511544 
2.98049 78.0941 0.0206518 
0.542512 76.497 0.0522043 
-2.11533 73.19 0.0542689 
-4.47433 70.9931 0.026158 
-5.2629 70.7315 0.00233708 
-5.33106 70.7308 0.000384566 
-5.36479 70.7555 -5.76345e-05 
-5.49822 70.7724 0.00584487 
-6.21463 70.3961 0.0126383 
p		#cnt 2
1
30
1080 0 62
1080.67 78.2117 63
1081.33 156.423 64
1079.85 234.729 65
1078.58 313.076 66
1077.73 391.438 67
1077.3 469.764 68
1077.2 548.095 69
1077.45 626.401 70
1077.84 704.658 71
1078.08 782.983 72
1079.08 861.328 73
1080.68 939.551 74
1082.45 1017.76 75
1085.36 1095.87 76
1088.6 1174.06 77
1093.22 1252.11 78
1099.64 1329.89 79
1107.84 1407.19 80
1116.67 1484.15 81
1121.4 1561.31 82
1119.88 1638.68 83
1111.36 1715.54 84
1098.99 1791.66 85
1079.3 1866.11 86
1051.39 1937.96 87
1016.07 2006.69 88
974.267 2072.01 89
926.964 2133.89 90
876.384 2193.67 91
827.039 2255.41 92
0.665456 78.2117 0 
0.665456 78.2117 0.0200406 
-1.48518 78.3054 0.002355 
-1.4902 78.3122 -0.00131478 
-1.33952 78.3155 -0.00267732 
-1.06793 78.3097 -0.00414479 
-0.710507 78.2931 -0.00482373 
-0.335955 78.2647 -0.0045845 
-0.0423331 78.2276 -0.00243301 
0.0602704 78.2069 -0.000867327 
0.153387 78.1996 -0.00159606 
0.319418 78.2005 -0.00268212 
0.565307 78.2054 -0.00346626 
0.8448 78.2014 -0.0036049 
1.12216 78.1983 -0.00347156 
1.38858 78.1909 -0.00336369 
1.65506 78.1764 -0.00355343 
1.96341 78.1489 -0.00462627 
2.37766 78.1012 -0.00604036 
2.85017 78.0596 -0.00575744 
3.19787 78.0378 -0.00277576 
3.31064 77.9778 -0.000673657 
3.26098 77.8813 0.00388941 
2.65119 77.6234 0.0130966 
1.42227 77.0683 0.0214804 
-0.27778 76.1543 0.0280724 
-2.27282 74.8876 0.032384 
-4.33299 73.368 0.0323283 
-6.12818 71.8841 0.0261091 
-7.58358 70.7997 0.0214053 
p		#cnt 3
1
30
1120 0 93
1116.08 78.5315 94
1112.15 157.063 95
1110.91 235.508 96
1109.7 313.849 97
1108.85 392.122 98
1108.44 470.364 99
1108.35 548.618 100
1108.57 626.877 101
1108.86 705.131 102
1109.23 783.355 103
1110.27 861.544 104
1111.89 939.734 105
1113.55 1018.04 106
1116.26 1096.01 107
1119.8 1173.83 108
1124.59 1251.65 109
1130.8 1329.51 110
1138.1 1407.59 111
1146.77 1485.41 112
1151.36 1563.96 113
1150.02 1642.82 114
1143.02 1721.41 115
1129.77 1799.29 116
