p		#cnt 0
1
30
1000 0 0
999.782 75.2517 1
999.563 150.503 2
1001.77 225.544 3
1003.77 300.575 4
1007.6 375.583 5
1012.97 450.481 6
1019.87 525.254 7
1029.65 599.734 8
1042.46 673.786 9
1053.62 748.027 10
1061.46 822.634 11
1064.1 897.538 12
1060.92 972.402 13
1055.88 1047.16 14
1049.05 1121.75 15
1040.37 1196.1 16
1028.05 1269.9 17
1012.7 1343.1 18
1000.68 1416.79 19
992.785 1491.08 20
988.939 1565.66 21
987.827 1640.36 22
988.43 1715.09 23
992.951 1789.72 24
1001.26 1864.04 25
1014.13 1937.75 26
1032.96 2010.23 27
1054.87 2081.88 28
1075.94 2154.09 29
1096.06 2226.79 30
-0.21848 75.2517 0 
-0.21848 75.2517 -0.0172015 
2.2056 75.0402 -0.0278074 
4.48844 74.9396 -0.0318738 
6.79014 74.7839 -0.0277899 
8.35656 74.5956 -0.0117273 
8.64896 74.458 -0.000209661 
8.677 74.3428 -0.00124069 
8.77854 74.2129 -0.00139558 
8.92476 74.0778 -0.00460029 
9.40389 73.9472 -0.00632778 
9.71235 73.8819 -0.00205763 
9.7564 73.8525 0.000435986 
9.69277 73.8336 0.0011954 
9.59977 73.8199 0.00113315 
9.48569 73.8051 0.00264053 
9.06464 73.7426 0.00998266 
8.05667 73.5539 0.0156402 
7.03017 73.4089 0.0102582 
6.54664 73.3663 0.00448453 
6.23067 73.3579 0.00399253 
5.87939 73.361 0.00634658 
5.35127 73.3756 0.00593466 
5.06968 73.4008 0.00246652 
4.90833 73.4263 0.00208891 
4.70201 73.4707 0.00418171 
4.28164 73.5896 0.00714147 
3.73374 73.7689 0.0078377 
3.18004 73.9383 0.00768595 
2.61707 74.0995 0.00780255 
p		#cnt 1
1
30
1100 0 31
1095.39 70.9002 32
1090.77 141.8 33
1089.43 213.328 34
1089.5 285.002 35
1089.98 356.723 36
1090.59 428.576 37
1091.02 500.566 38
1091.22 572.698 39
1091.34 644.975 40
1091.39 717.295 41
1091.32 789.722 42
1090.4 862.234 43
1088.41 934.825 44
1085.84 1007.52 45
1082.84 1080.29 46
1079.73 1153.23 47
1075.75 1226.33 48
1069.75 1299.53 49
1064.03 1373.02 50
1059.11 1446.35 51
1056.53 1519.62 52
1055.11 1592.8 53
1055.2 1665.94 54
1057.03 1739 55
1060.97 1811.93 56
1066.09 1884.83 57
1072.11 1957.64 58
1081.09 2030.14 59
1095.32 2101.19 60
1110.12 2171.48 61
-4.61495 70.9002 0 
-4.61495 70.9002 -0.026115 
-1.3378 71.5276 -0.035342 
1.13388 71.8189 -0.033094 
3.27619 72.077 -0.0265925 
4.91019 72.3088 -0.0192484 
6.06605 72.5295 -0.0133926 
6.88903 72.7461 -0.00999737 
7.57156 72.9612 -0.00950931 
8.32244 73.1784 -0.011774 
9.15929 73.3933 -0.00959185 
9.614 73.5519 -0.00371149 
9.7589 73.6662 -0.000669974 
9.74427 73.7443 0.000747453 
9.6726 73.8003 0.00102923 
9.57836 73.8456 0.0017896 
9.29312 73.8778 0.00721869 
8.52427 73.862 0.0123256 
7.68685 73.8457 0.00893839 
7.22529 73.8617 0.00475933 
6.87237 73.8696 0.0052306 
6.44853 73.8734 0.00611658 
6.0023 73.881 0.00598105 
5.58804 73.8938 0.00527909 
5.23006 73.9092 0.00462952 
4.89612 73.9286 0.00464822 
4.53249 73.9548 0.00547495 
4.09125 74.0059 0.00665779 
3.58657 74.106 0.00743582 
3.05353 74.2198 0.00766415 
p		#cnt 2
1
30
1200 0 62
1193.41 73.7475 63
1186.82 147.495 64
1179.35 220.994 65
1171.26 294.248 66
1165 367.723 67
1160.75 441.293 68
1158.65 514.913 69
1158.02 588.537 70
1157.39 662.142 71
1155.34 735.751 72
1151.65 809.276 73
1146.78 882.727 74
1141.22 956.151 75
1135.19 1029.51 76
1127.94 1102.73 77
1120 1175.83 78
1112.11 1248.87 79
1104.98 1321.9 80
1099.05 1394.98 81
1093.69 1468.21 82
1090.37 1541.61 83
1089.71 1615.15 84
1091.47 1688.73 85
1095.29 1762.32 86
1100.97 1835.82 87
1107.31 1909.28 88
1112.88 1982.8 89
1117.22 2056.45 90
1122.53 2130.19 91
1128.7 2204.01 92
-6.58803 73.7475 0 
-6.58803 73.7475 0.00673424 
-7.47733 73.4991 0.00984835 
-8.1841 73.3438 0.00887947 
-8.67912 73.2208 0.00430579 
-8.76403 73.132 -0.00200841 
-8.37916 73.0611 -0.00817605 
-7.64537 72.9985 -0.0106591 
-6.88217 72.9518 -0.0100449 
-6.12534 72.9286 -0.0109561 
-5.18158 72.9399 -0.0152752 
-3.79943 73.0233 -0.0227315 
-1.84671 73.2074 -0.0301158 
0.466584 73.4466 -0.0315264 
2.63785 73.7027 -0.027724 
4.4918 73.9279 -0.0229118 
5.9588 74.0923 -0.0170861 
6.95767 74.1797 -0.00997938 
7.37718 74.1924 -0.00110359 
7.18927 74.1616 0.00499333 
6.76604 74.1337 0.00618349 
6.31123 74.1246 0.00613293 
5.8695 74.1321 0.00584175 
5.45977 74.1525 0.00520716 
5.10111 74.1797 0.0046686 
4.75588 74.2087 0.00485001 
4.37053 74.2376 0.00575018 
3.90522 74.2678 0.00683313 
3.37428 74.3102 0.00749071 
2.81182 74.3616 0.00769207 
p		#cnt 3
1
30
1300 0 93
1295.05 72.3046 94
1290.1 144.609 95
1283.31 216.859 96
1275.16 289.04 97
1261.43 360.547 98
1238.4 430.221 99
1213.6 499.406 100
1189.31 568.773 101
1168.93 639.2 102
1153.65 710.542 103
1146.23 782.714 104
1148.21 855.004 105
1159.7 926.441 106
1179.3 996.349 107
1205.84 1064.29 108
1236.09 1130.94 109
1266.04 1197.69 110
1291.96 1265.79 111
1311.04 1335.71 112
1321.97 1407.03 113
1325.39 1478.94 114
1323.57 1550.92 115
1318.77 1622.92 116
1312.63 1695.01 117
1306.16 1767.17 118
