p		#cnt 0
1
30
1000 0 0
1004.35 65.0063 1
1008.71 130.013 2
991.856 200.613 3
967.694 270.587 4
945.082 341.064 5
929.951 414.169 6
920.554 488.43 7
910.745 562.366 8
902.027 636.157 9
893.062 709.102 10
886.281 782.717 11
878.733 856.47 12
873.313 930.213 13
871.955 1004.15 14
868.875 1078.1 15
860.588 1151.42 16
852.066 1224.8 17
846.39 1298.47 18
844.552 1372.58 19
839.56 1447.27 20
837.277 1522.19 21
836.478 1598.5 22
828.741 1674.58 23
823.627 1750.81 24
819.813 1828.54 25
808.813 1905.18 26
793.698 1980.62 27
781.661 2055.36 28
763.796 2131.77 29
713.298 2197.04 30
4.35306 65.0063 0 
4.35306 65.0063 0.206514 
-16.8504 70.6008 0.165313 
-22.2002 70.0775 0.014029 
-22.0864 70.6686 -0.015056 
-20.5227 71.37 -0.0335215 
-17.4658 71.9863 -0.0438549 
-14.5466 72.5028 -0.0355937 
-12.204 72.7672 -0.0281699 
-10.3469 72.9317 -0.0226271 
-8.83833 73.0058 -0.0183194 
-7.59161 73.0883 -0.0156563 
-6.48938 73.1447 -0.014232 
-5.48424 73.1597 -0.0129109 
-4.57769 73.2086 -0.0116952 
-3.7781 73.3005 -0.00982993 
-3.16852 73.3663 -0.00660083 
-2.8139 73.3884 -0.00308465 
-2.6949 73.3907 -0.000304991 
-2.73933 73.4017 0.00122511 
-2.85371 73.4209 0.00170704 
-2.98216 73.4465 0.0015426 
-3.0965 73.4606 0.00157451 
-3.24242 73.4716 0.00226049 
-3.43899 73.481 0.0026212 
-3.62796 73.4725 0.00210662 
-3.78265 73.4564 0.00228747 
-3.98461 73.438 0.00281449 
-4.19723 73.4028 0.00270212 
-4.37284 73.2658 0.00269803 
p		#cnt 1
1
30
1040 0 31
1031.36 86.5855 32
1022.72 173.171 33
1005.06 250.452 34
979.942 323.642 35
958.372 394.529 36
952.485 469.19 37
939.54 542.147 38
934.987 616.772 39
927.297 690.655 40
916.171 762.253 41
910.706 835.469 42
900.242 907.578 43
905.298 981.605 44
903.915 1056.76 45
890.337 1129.79 46
883.572 1203.8 47
878.098 1277.57 48
872.819 1351.07 49
870.348 1425.32 50
863.98 1500.25 51
866.378 1575.54 52
859.686 1652.08 53
851.214 1728.53 54
852.668 1805.42 55
842.576 1883.73 56
826.979 1960.95 57
810.446 2038.18 58
796.87 2116.49 59
773.384 2199.87 60
704.97 2277.12 61
-8.6397 86.5855 0 
-8.6397 86.5855 0.0634417 
-17.6645 77.2805 0.0876923 
-22.5594 73.8289 0.0475442 
-22.9339 72.1076 -0.0333779 
-18.2384 71.6944 -0.0622183 
-14.8357 71.9347 -0.0347923 
-12.4418 71.9475 -0.0298573 
-10.4013 72.0924 -0.0236038 
-8.98621 72.3425 -0.0174599 
-7.7582 72.4657 -0.0165237 
-6.62331 72.6594 -0.0143002 
-5.68641 72.65 -0.011597 
-4.80005 72.7537 -0.0127082 
-3.8689 73.0254 -0.0121829 
-3.13855 73.1758 -0.00761021 
-2.77076 73.2689 -0.00252243 
-2.73885 73.3312 0.00104957 
-2.86401 73.3825 0.00182616 
-2.99627 73.4212 0.00177345 
-3.1276 73.4677 0.00150552 
-3.20951 73.4952 0.000602485 
-3.27021 73.5193 0.00143153 
-3.43592 73.5521 0.00241525 
-3.61358 73.554 0.00209542 
-3.78388 73.5438 0.00232962 
-4.02296 73.5212 0.00408953 
-4.3829 73.4986 0.00391465 
-4.57289 73.5006 0.00026473 
-4.50751 73.6177 -0.00197327 
p		#cnt 2
1
30
1080 0 62
1079.28 63.6369 63
1078.56 127.274 64
1061.07 192.198 65
1037.28 256.492 66
1015.57 322.558 67
1000.11 391.476 68
990.636 462.9 69
983.479 533.849 70
975.31 605.15 71
966.877 676.433 72
958.047 748.387 73
950.266 821.44 74
945.586 893.517 75
941.833 965.906 76
937.117 1038.23 77
932.007 1110.15 78
925.517 1182.88 79
918.966 1255.45 80
913.562 1327.52 81
909.055 1399.25 82
906.244 1469.33 83
903.8 1538.61 84
901.207 1607.21 85
897.182 1675.23 86
891.749 1743.21 87
884.687 1811 88
877.764 1878.37 89
868.287 1945.16 90
851.622 2010.37 91
823.11 2070.13 92
-0.720753 63.6369 0 
-0.720753 63.6369 0.161074 
-17.4869 64.9246 0.145316 
-23.7394 64.0744 0.0428877 
-24.3139 64.7483 -0.0228656 
-21.9247 66.2413 -0.0521245 
-18.0527 67.7282 -0.0561777 
-14.7579 68.7752 -0.0399933 
-12.4602 69.6058 -0.0296438 
-10.563 70.2691 -0.02522 
-9.02126 70.844 -0.0193467 
-7.8333 71.3144 -0.0150592 
-6.85318 71.6624 -0.013005 
-5.96915 71.9597 -0.0122327 
-5.09367 72.2469 -0.0126583 
-4.18212 72.5337 -0.0132127 
-3.27579 72.8454 -0.0118617 
-2.67465 73.1301 -0.00366352 
-2.73856 73.318 0.00277471 
-2.93409 73.4378 0.00249817 
-3.1011 73.5173 0.00211037 
-3.22048 73.5718 0.00116423 
-3.28108 73.6065 0.00090652 
-3.34592 73.6264 0.00060452 
-3.37479 73.6393 0.000697411 
-3.46839 73.6461 0.00189644 
-3.61829 73.6494 0.00238277 
-3.78222 73.6468 0.00240548 
-3.9547 73.6255 0.00292112 
-4.1569 73.5438 0.00347261 
p		#cnt 3
1
30
1120 0 93
1128.86 66.1164 94
1137.72 132.233 95
1135.38 203.597 96
1131.54 276.078 97
1129.04 349.214 98
1123.28 423.003 99
1115.03 496.972 100
1105.68 571.218 101
1092.89 645.775 102
1075.27 719.991 103
1057.8 794.288 104
1039.47 869.075 105
1019.98 943.422 106
1002.05 1017.99 107
984.746 1092.88 108
971.193 1168.15 109
960.661 1242.55 110
948.141 1316.17 111
940.788 1391.54 112
931.781 1465.16 113
922.033 1536.85 114
925.588 1609.92 115
938.663 1682.51 116
953.707 1755.16 117
967.842 1828.39 118
978.241 1902.23 119
